video_id,host_channel_id,host_channel_name,video_title,published_at,event_year,extracted_mentions,exact_resolved_count,unresolved_mentions_count,identity_verification,collab_context_verification,verification_level,exists_in_temporal_catalog,retrieved_at
v5UJAXIS8pY,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,พูดคุยแลกเปลี่ยน w/@LucenePLG,2023-12-11T15:09:49Z,2023,LucenePLG,1,0,EXACT_HANDLE_MATCH,STRONG_COLLAB_CONTEXT_VERIFIED,EXACT_HANDLE_VERIFIED,False,2026-09-09T05:32:07.448198+00:00
MZTmZY_6h5c,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,มือใหม่หัดกู้ w/@momone_SRV,2023-11-06T03:08:16Z,2023,momone_SRV,0,1,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
ZHlxs0PFOsI,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,Maimai Festival ตบตู้ก่อนหนีไปเที่ยวยาวๆ,2023-10-19T03:15:48Z,2023,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
vP0WynNFaZo,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,Hack ใน Valorant? w/@mollyehe,2023-10-01T05:00:29Z,2023,mollyehe,1,0,EXACT_HANDLE_MATCH,STRONG_COLLAB_CONTEXT_VERIFIED,EXACT_HANDLE_VERIFIED,False,2026-09-09T05:32:07.448198+00:00
au2iPvQppe4,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,กองโจร - Valorant มาเล่นกับใครไม่รู้เล่นไปเรื่อย w/@mollyehe,2023-09-15T03:18:17Z,2023,mollyehe,1,0,EXACT_HANDLE_MATCH,STRONG_COLLAB_CONTEXT_VERIFIED,EXACT_HANDLE_VERIFIED,False,2026-09-09T05:32:07.448198+00:00
iBn1MSkU3K0,UC2IZur8-GAsn7gHQNTNOOgQ,Potia PBT,[🔴Gartic Phone ] เด็กอนุบาล2หัดวาดรูป,2026-02-11T04:01:21Z,2026,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
_Hi9yY1Aou4,UC2IZur8-GAsn7gHQNTNOOgQ,Potia PBT,POV : เมื่อคุณเหงาจนต้องขอโมเดลโอนี่จังมาวาดเล่น @V8tie.V,2025-10-20T14:06:37Z,2025,V8tie.V,0,1,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
1DWkf6PFevI,UC2IZur8-GAsn7gHQNTNOOgQ,Potia PBT,[🔴Q&A with บุคคลปริศนา ]  นักร้องเสียงเพราะคนนั้นคือใครกัน,2025-09-12T22:52:24Z,2025,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
TGhemwelrss,UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,[ Thai Version ] Haiiro to Ao (灰色と青) - Yonezu Kenshi + Suda Masaki ft. @VinXIIIPLG | LUCENE 🌜,2026-08-21T09:32:25Z,2026,VinXIIIPLG,0,1,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,True,2026-09-09T05:32:07.448198+00:00
2WHhbFSyuRQ,UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,🔴LIVE | บาป VS บุญ คุณอยู่ฝั่งไหนล่ะคะ👿👼 | LUCENE 🌜,2026-08-20T15:43:47Z,2026,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,True,2026-09-09T05:32:07.448198+00:00
lTAa2ZWfHRs,UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,[ Thai Version ] Haiiro to Ao (灰色と青) - Yonezu Kenshi + Suda Masaki ft. @VinXIIIPLG | LUCENE 🌜,2026-08-19T10:00:06Z,2026,VinXIIIPLG,0,1,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,True,2026-09-09T05:32:07.448198+00:00
ExGqwzD_DAs,UC2kjsGpKTwnFKZLLTUkK4Gw,BRRWYN Ch. / QURSE,【🔴LIVE】Fears to Fathom: Scratch Creek พาป้ามาเที่ยว ft.Shua🦫💛｜#BrrwynVibeENT,2026-09-03T04:16:29Z,2026,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
Ya1kIqDT3IQ,UC2kjsGpKTwnFKZLLTUkK4Gw,BRRWYN Ch. / QURSE,【🔴RAFT】เล่นลาฟ feat.Shua Hexo💛｜#BrrwynVibeENT,2026-07-24T03:28:16Z,2026,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
NZhZk-cyH5Y,UC32lsx7u7vqy63SguuuzmVg,Narelle ch. 【FIXIX VT】,【🔴[Assemble with care] ปริศนานี้ ผมตอบไม่ได้  Narelle ch. ‪【FIXIX VT】,2025-12-15T05:18:06Z,2025,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
1rKp3NsGVcs,UC32lsx7u7vqy63SguuuzmVg,Narelle ch. 【FIXIX VT】,【🔴[Repoจำเป็น] พวกพี่มาเป็นแก๊งค์! ft.สามหนุ่มหล่อดาเมจแรง Narelle ch. ‪【FIXIX VT】,2025-11-15T05:44:15Z,2025,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
bGZHJwBr8E4,UC3ZglUA0HEUCuGbe5b8zXKw,The Lupas,🔴LIVE【Lupas  Overwatch อ่อนแอก็แพ้ไปครับ feat. พรี่ รจ.】│ Lupas │[VtuberTH],2022-03-02T02:35:20Z,2022,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
z74g9j1-dW0,UC3ZglUA0HEUCuGbe5b8zXKw,The Lupas,🔴LIVE【Free Talk : วันนี้ลูปัสขอยืมไมค์แปบหนึ่ง Ft.Aurano】│ Lupas│[VtuberTH],2021-07-11T02:03:20Z,2021,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
5qyVoSl02d8,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,เด็กหลังห้องกับ@yoinmori and เดอะแก๊ง,2026-09-06T13:27:02Z,2026,yoinmori,1,0,EXACT_HANDLE_MATCH,STRONG_COLLAB_CONTEXT_VERIFIED,EXACT_HANDLE_VERIFIED,False,2026-09-09T05:32:07.448198+00:00
C-BkBAl3Gmc,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,ลูกเสือในฐานใหม่กับ @OmariYumi @SeaseenLe - PEAK,2026-08-17T15:50:02Z,2026,"OmariYumi,SeaseenLe",0,2,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
7nytz33b_Mk,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,ลุงเองก็ต้องทำงานเสริมนะ | The Convenience Store 夜勤事件 w/@KayoCh,2026-08-07T02:07:40Z,2026,KayoCh,1,0,EXACT_HANDLE_MATCH,STRONG_COLLAB_CONTEXT_VERIFIED,EXACT_HANDLE_VERIFIED,False,2026-09-09T05:32:07.448198+00:00
DNgTUfYxhII,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,มารคราฟเดยยยย | Minecraft,2026-07-30T15:17:14Z,2026,NONE,0,0,UNRESOLVED_HANDLE,NONE,CANDIDATE_UNRESOLVED,False,2026-09-09T05:32:07.448198+00:00
