collab_id,video_id,host_channel_id,host_channel_name,participant_channel_id,participant_channel_name,participant_agency,participant_matched_handle,event_date,event_year,evidence_source,verification_level,verification_status,host_in_target_cohort,participant_in_target_cohort,retrieved_at
collab_v5UJAXIS8pY_UC25e5qE,v5UJAXIS8pY,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,Independent,@LucenePLG,2023-12-11,2023,video_catalog.parquet:title=พูดคุยแลกเปลี่ยน w/@LucenePLG,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,True,2026-09-09T05:03:27.632528+00:00
collab_vP0WynNFaZo_UC3O5wAg,vP0WynNFaZo,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,Independent,@mollyehe,2023-10-01,2023,video_catalog.parquet:title=Hack ใน Valorant? w/@mollyehe,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,True,2026-09-09T05:03:27.632528+00:00
collab_au2iPvQppe4_UC3O5wAg,au2iPvQppe4,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,Independent,@mollyehe,2023-09-15,2023,video_catalog.parquet:title=กองโจร - Valorant มาเล่นกับใครไม่รู้เล่นไปเรื่อย w/@mollyehe,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,True,2026-09-09T05:03:27.632528+00:00
collab_5qyVoSl02d8_UCalvpWY,5qyVoSl02d8,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,UCalvpWY2A2P4-h5UIs1jGgA,yoinmori,Independent,@yoinmori,2026-09-06,2026,video_catalog.parquet:title=เด็กหลังห้องกับ@yoinmori and เดอะแก๊ง,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,True,2026-09-09T05:03:27.632528+00:00
collab_7nytz33b_Mk_UC5wA30T,7nytz33b_Mk,UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,UC5wA30Tc9ONbRjj6QNinH9w,Kayo Ch. 【かよCh.】◣PLO◥,Independent,@KayoCh,2026-08-07,2026,video_catalog.parquet:title=ลุงเองก็ต้องทำงานเสริมนะ | The Convenience Store 夜勤事件 w/@KayoCh,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,False,2026-09-09T05:03:27.632528+00:00
collab_8bGKcTmvGRw_UC5OXcxq,8bGKcTmvGRw,UC2iD3jxz5srvHoV7gXtBYvQ,Davina V.,UC5OXcxq6ab6RlhHqNyHws_w,M a l l o w  Ch.,Independent,@Mallow_Ham,2023-02-07,2023,"video_catalog.parquet:title=🔴｢LIVE｣#COLLAB ""PACIFY"" @Sovonch @JingJibara @Mallow_Ham  !!!!!",EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,False,False,2026-09-09T05:03:27.632528+00:00
collab_TsrH7gyRoQo_UC3qnb4S,TsrH7gyRoQo,UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,UC3qnb4Sgo4QtiOi8iS7jOsQ,Kumoku Tsururu Ch. Lumina-World-End,Lumina Live,@TsururuWorldEnd,2026-09-02,2026,"video_catalog.parquet:title=ทีม เบียว vs คนปกติ ft.@TsururuWorldEnd ,@EveshaiahMiraclover ,@LunessaFlorynne",EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,True,False,2026-09-09T05:03:27.632528+00:00
collab_TsrH7gyRoQo_UCGtHn0f,TsrH7gyRoQo,UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,UCGtHn0fmqCAp_8AzV_PWd6A,Eveshaiah Miraclover Ch. Lumina-Mutelu,Lumina Live,@EveshaiahMiraclover,2026-09-02,2026,"video_catalog.parquet:title=ทีม เบียว vs คนปกติ ft.@TsururuWorldEnd ,@EveshaiahMiraclover ,@LunessaFlorynne",EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,True,False,2026-09-09T05:03:27.632528+00:00
collab_TsrH7gyRoQo_UCbypR_t,TsrH7gyRoQo,UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,UCbypR_t0teWxIdrQ9i83XiQ,Lunessa Florynne Ch. Lumina-Muse,Lumina Live,@LunessaFlorynne,2026-09-02,2026,"video_catalog.parquet:title=ทีม เบียว vs คนปกติ ft.@TsururuWorldEnd ,@EveshaiahMiraclover ,@LunessaFlorynne",EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,True,False,2026-09-09T05:03:27.632528+00:00
collab_yM-nGXicF-w_UCIBdFlC,yM-nGXicF-w,UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,UCIBdFlC2Fk3rID8CAETV35g,Kryspeia Cosmelis Ch. Lumina-Mutelu,Lumina Live,@KryspeiaCosmelis,2026-08-29,2026,video_catalog.parquet:title=เมื่อครู่...ข้าเท่หรือไม่ ft.@KryspeiaCosmelis,EXACT_HANDLE_VERIFIED,VERIFIED_LOCAL_PUBLIC_ARTIFACT,True,False,2026-09-09T05:03:27.632528+00:00
