video_id,host_channel_id,title,published_at,verification_level,audit_verdict,resolved_participants,audit_reason,audited_at
v5UJAXIS8pY,UC1s5T_9sfGrRxHJhjEceVSg,พูดคุยแลกเปลี่ยน w/@LucenePLG,2023-12-11T15:09:49Z,EXACT_HANDLE_VERIFIED,PASSED_EXACT_HANDLE_VERIFICATION,Lucene Ch.(UC25e5qEqvVaG_VKrkTmJBmw),Explicit handle(s) ['@LucenePLG'] matched canonical registry handle exactly.,2026-09-09T04:35:42.299345+00:00
MZTmZY_6h5c,UC1s5T_9sfGrRxHJhjEceVSg,มือใหม่หัดกู้ w/@momone_SRV,2023-11-06T03:08:16Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['momone_SRV'].",2026-09-09T04:35:42.299345+00:00
ZHlxs0PFOsI,UC1s5T_9sfGrRxHJhjEceVSg,Maimai Festival ตบตู้ก่อนหนีไปเที่ยวยาวๆ,2023-10-19T03:15:48Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
vP0WynNFaZo,UC1s5T_9sfGrRxHJhjEceVSg,Hack ใน Valorant? w/@mollyehe,2023-10-01T05:00:29Z,EXACT_HANDLE_VERIFIED,PASSED_EXACT_HANDLE_VERIFICATION,MOLLY(UC3O5wAgEVyNA1Jw3gyi-_jA),Explicit handle(s) ['@mollyehe'] matched canonical registry handle exactly.,2026-09-09T04:35:42.299345+00:00
au2iPvQppe4,UC1s5T_9sfGrRxHJhjEceVSg,กองโจร - Valorant มาเล่นกับใครไม่รู้เล่นไปเรื่อย w/@mollyehe,2023-09-15T03:18:17Z,EXACT_HANDLE_VERIFIED,PASSED_EXACT_HANDLE_VERIFICATION,MOLLY(UC3O5wAgEVyNA1Jw3gyi-_jA),Explicit handle(s) ['@mollyehe'] matched canonical registry handle exactly.,2026-09-09T04:35:42.299345+00:00
iBn1MSkU3K0,UC2IZur8-GAsn7gHQNTNOOgQ,[🔴Gartic Phone ] เด็กอนุบาล2หัดวาดรูป,2026-02-11T04:01:21Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
_Hi9yY1Aou4,UC2IZur8-GAsn7gHQNTNOOgQ,POV : เมื่อคุณเหงาจนต้องขอโมเดลโอนี่จังมาวาดเล่น @V8tie.V,2025-10-20T14:06:37Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['V8tie.V'].",2026-09-09T04:35:42.299345+00:00
1DWkf6PFevI,UC2IZur8-GAsn7gHQNTNOOgQ,[🔴Q&A with บุคคลปริศนา ]  นักร้องเสียงเพราะคนนั้นคือใครกัน,2025-09-12T22:52:24Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
TGhemwelrss,UC25e5qEqvVaG_VKrkTmJBmw,[ Thai Version ] Haiiro to Ao (灰色と青) - Yonezu Kenshi + Suda Masaki ft. @VinXIIIPLG | LUCENE 🌜,2026-08-21T09:32:25Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['VinXIIIPLG'].",2026-09-09T04:35:42.299345+00:00
2WHhbFSyuRQ,UC25e5qEqvVaG_VKrkTmJBmw,🔴LIVE | บาป VS บุญ คุณอยู่ฝั่งไหนล่ะคะ👿👼 | LUCENE 🌜,2026-08-20T15:43:47Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
lTAa2ZWfHRs,UC25e5qEqvVaG_VKrkTmJBmw,[ Thai Version ] Haiiro to Ao (灰色と青) - Yonezu Kenshi + Suda Masaki ft. @VinXIIIPLG | LUCENE 🌜,2026-08-19T10:00:06Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['VinXIIIPLG'].",2026-09-09T04:35:42.299345+00:00
ExGqwzD_DAs,UC2kjsGpKTwnFKZLLTUkK4Gw,【🔴LIVE】Fears to Fathom: Scratch Creek พาป้ามาเที่ยว ft.Shua🦫💛｜#BrrwynVibeENT,2026-09-03T04:16:29Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
Ya1kIqDT3IQ,UC2kjsGpKTwnFKZLLTUkK4Gw,【🔴RAFT】เล่นลาฟ feat.Shua Hexo💛｜#BrrwynVibeENT,2026-07-24T03:28:16Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
NZhZk-cyH5Y,UC32lsx7u7vqy63SguuuzmVg,【🔴[Assemble with care] ปริศนานี้ ผมตอบไม่ได้  Narelle ch. ‪【FIXIX VT】,2025-12-15T05:18:06Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
1rKp3NsGVcs,UC32lsx7u7vqy63SguuuzmVg,【🔴[Repoจำเป็น] พวกพี่มาเป็นแก๊งค์! ft.สามหนุ่มหล่อดาเมจแรง Narelle ch. ‪【FIXIX VT】,2025-11-15T05:44:15Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
bGZHJwBr8E4,UC3ZglUA0HEUCuGbe5b8zXKw,🔴LIVE【Lupas  Overwatch อ่อนแอก็แพ้ไปครับ feat. พรี่ รจ.】│ Lupas │[VtuberTH],2022-03-02T02:35:20Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
z74g9j1-dW0,UC3ZglUA0HEUCuGbe5b8zXKw,🔴LIVE【Free Talk : วันนี้ลูปัสขอยืมไมค์แปบหนึ่ง Ft.Aurano】│ Lupas│[VtuberTH],2021-07-11T02:03:20Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
5qyVoSl02d8,UC2uv9lpMiz72v_qPVFDSZmA,เด็กหลังห้องกับ@yoinmori and เดอะแก๊ง,2026-09-06T13:27:02Z,EXACT_HANDLE_VERIFIED,PASSED_EXACT_HANDLE_VERIFICATION,yoinmori(UCalvpWY2A2P4-h5UIs1jGgA),Explicit handle(s) ['@yoinmori'] matched canonical registry handle exactly.,2026-09-09T04:35:42.299345+00:00
C-BkBAl3Gmc,UC2uv9lpMiz72v_qPVFDSZmA,ลูกเสือในฐานใหม่กับ @OmariYumi @SeaseenLe - PEAK,2026-08-17T15:50:02Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['OmariYumi', 'SeaseenLe'].",2026-09-09T04:35:42.299345+00:00
7nytz33b_Mk,UC2uv9lpMiz72v_qPVFDSZmA,ลุงเองก็ต้องทำงานเสริมนะ | The Convenience Store 夜勤事件 w/@KayoCh,2026-08-07T02:07:40Z,EXACT_HANDLE_VERIFIED,PASSED_EXACT_HANDLE_VERIFICATION,Kayo Ch. 【かよCh.】◣PLO◥(UC5wA30Tc9ONbRjj6QNinH9w),Explicit handle(s) ['@KayoCh'] matched canonical registry handle exactly.,2026-09-09T04:35:42.299345+00:00
DNgTUfYxhII,UC2uv9lpMiz72v_qPVFDSZmA,มารคราฟเดยยยย | Minecraft,2026-07-30T15:17:14Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
pum4FikDuw8,UC1pYd8HCTuc8Kdh_8m_znpA,ยาเมะเตะ คุดาไซ (ヤメテクダサイ) covered by Freyrina & @hannieshanari ​,2026-08-24T04:51:51Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['hannieshanari'].",2026-09-09T04:35:42.299345+00:00
zQssINnhedw,UC3H7_4Gz8PhHeMz0hHwuFTw,チェリーポップ / DECO*27 feat. Hatsune Miku 【cover】|| MorikaRei,2025-12-07T11:00:06Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
FyKE-bJWwSI,UC3H7_4Gz8PhHeMz0hHwuFTw,Soda Pop / KPop Demon Hunters【cover】|| MorikaRei #sodapop #kpop #sajaboys #cover #vtuber #vsinger,2025-08-01T11:00:34Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
ag6Zglhdfvk,UC3QTic1iBGQN_LzWo7JfDKQ,【🔴COLLAB】เกมเป็ดหรรษามาอีกแล้ว 🦆🔍 | Goose Goose Duck「#2」,2026-09-06T07:25:45Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
DLg2FlJY2d8,UC3QTic1iBGQN_LzWo7JfDKQ,【🔴】กลับมาหาเกมเหลี่ยมได้ซักที ⚔️💎 | Minecraft Survival SS2「#3」,2026-08-25T02:56:53Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
eNKesx5KIOI,UC3QTic1iBGQN_LzWo7JfDKQ,【🔴COLLAB】เกมเป็ดหรรษาที่ได้เล่นซักทีนะ 🦆🔍 | Goose Goose Duck「#1」,2026-08-22T04:18:49Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
A-vg-XNAyjw,UC3QTic1iBGQN_LzWo7JfDKQ,【🔴】กลับมาอีกครั้ง ✍🏻📖 | Reading with Callisto「#12」,2026-08-09T04:14:24Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
cC1csTiOUMU,UC1o-4IZwxHOxGyUKN6xpNZA,[🔴𝐋𝐈𝐕𝐄 ] ตายยกทีม.. | Akito x Neko x Saki [ Left 4 Dead 2 ],2026-07-25T08:44:25Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
n8sI-LWUN4g,UC1o-4IZwxHOxGyUKN6xpNZA,มันเอาแล้วววววววววววววววววววววววว #yukilive #minecraft #vtuber,2026-07-14T02:39:15Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
1PxNXaM8tfQ,UC1o-4IZwxHOxGyUKN6xpNZA,pink  #yukilive #minecraft #vtuber,2026-07-04T03:56:48Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
5wev4Yr2t5Q,UC1o-4IZwxHOxGyUKN6xpNZA,หมากับช๊อก #vtuber #minecraft,2026-06-19T17:28:42Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
odETlb8Bhdw,UC1o-4IZwxHOxGyUKN6xpNZA,[🔴𝐋𝐈𝐕𝐄 ] REPO บางระจันกับการหาของ กับ @YuzuAkarika,2026-05-24T05:56:05Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: ['YuzuAkarika'].",2026-09-09T04:35:42.299345+00:00
fntG_6Y_CAY,UC2z7pz25bgnqLHdTd7EvVoQ,【OVERWATCH】เล่นกับเพื่อนๆ เหล่าคนเท่【Shishiou Seito】,2026-08-12T15:21:10Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
u-HGobbeaXQ,UC2z7pz25bgnqLHdTd7EvVoQ,【Shishiou Seito's Birthday】วันเกิดปีนี้อยากเป็นคนบ้า【Birthday Event】#SeitoBD2026,2026-08-10T17:21:11Z,CANDIDATE_UNRESOLVED,CANDIDATE_UNRESOLVED_REQUIRES_DESCRIPTION,NONE,"Keyword detected, but no exact handle match in registry. Unresolved mentions: NONE.",2026-09-09T04:35:42.299345+00:00
