creator_channel_id,creator_name,agency,lifecycle_status,events_verified,events_proxy,external_sources_checked,lifecycle_start_known,lifecycle_end_known,agency_history_known,remaining_gap
UCdlpXdGT3nGDTqIlxUcufCQ,Doyser,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCGBkYTR4tMKS38TQHGWWLjg,Aito LH,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCompe4fS2oUss8CGTuhOSxA,Gibpuri Ch,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UC_nmh9XycGlquouvai2UC6g,Newzkung Raccoonza,Independent,active,1,0,2,True,False,True,NONE
UCpGtwNmbOtgmcKIY81MIX_w,Nongwan TV,Independent,active,1,0,2,True,False,True,NONE
UCqhhWjpw23dWhJ5rRwCCrMA,Aisha Channel,Independent,active,2,0,2,True,True,True,NONE
UCC4Wb_x57Ks43GRJ6x_wT5Q,Choya Ch.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCrIs26bEKOvA_lRnO2Hgscw,Unnämed,Independent,unknown,0,1,1,True,False,True,UNCERTAIN_DATES
UCuZ1ajvlGFUMCHZAPdetKHw,Dacapo Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCJ6HUQOWSjCHHdOgz13zFlA,TheQuillmon ⌜VZ⌟,Virtual Zeven (VZ),active,2,0,2,True,False,True,NONE
UCDSn4Ql7fuyjxsSNOws81iQ,BorntoDev,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCyA1KEXjcq2za_bsJp9KmZQ,RAF4EL,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCMvc8BlQ7r5gRbz-D2EY0LA,HØRI 07 ⌜VZ⌟,Virtual Zeven (VZ),active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCPtSgQ5-yCPl9wbo5w7tmWQ,Evalia Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCR1Htb-H1-tus7UPotPh69A,Laibaht Ch. / หลายบาท,Independent,active,1,0,2,True,False,True,NONE
UCAr4U_HGMYXn1EZjdWiGSLQ,Baabel Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCdYlA3Qi1TnZwThS9Rb7dog,JayloNy,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCg53fzp6UNYvsyAg8UoNXCA,Draki Kona Ch. Lumina-First-Myth,Lumina Live,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCNTEr2_96vJnXNazr5MwNLA,Schneider Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCi2T9exDdJRTsxL1vnNV9gQ,Nanino Channel,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCrYkQnbL_OiYyGuiZyvcO7g,Hey Solly,Independent,hiatus,1,1,2,True,False,True,LIFECYCLE_END_UNCERTAIN
UCeijqgCP9z3zLJ-uwQzvFtQ,Sora A.C.G.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCM69uU9b_raR3mcACHeivgg,Pyork The Pork,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCWNVjAzZmYUni8YBXYiy01w,dtto.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCaNQI1xcU1ZC4W0guaIMgTg,ศาลเจ้ามังกรเนื้อทอง,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCY-5Lf7AJKFj4fudzFi1AZw,TeenWISU,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCMhUWTKBjrRSacizvjq3HLg,L4zyGone,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCXwc3r1q3yyxugIq2KM9K7A,Plathong Ch.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCNGyEYW2pFjhR_YqSuC4zjg,SAYU Ch. 小百合さゆ,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCHhIQk2SuVBxR4H2PH_3j2Q,นานาโฮชิ นานะ / 七星ナナ,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCcgDP2RmeCqW1GTms1mkUlQ,Karu Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCafG1bj6Qtcbn4bozcicWfA,ZONA Ch.,Polygon Official,active,1,0,2,True,False,True,NONE
UCt1L2vxqFD0xZeYHeHPZQoQ,CooGa,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCSR9HXXmM7Er6ebxyIoBgpw,Stamp LMTY ⌜VZ⌟,Virtual Zeven (VZ),active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UClIlMpdlevmQHyd7qQLLNWA,ghostmaiky,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCvTchQs3VuPF74Y3e6pPAMQ,SwordAce,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCf-29F7w_0xRTXVDFol0spQ,Roxzy ロキジー,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCQSPYuDISdhcuvXsAhn3BTQ,Lunatrix Ch.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCw64ItsCX0Cb4lCjb68oTpw,Eileennoir Ch.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCXtQTtPJedfjqEPysorbsMg,久檻夜くぅ / Qualia Qu Ch.,Independent,unknown,2,0,2,True,True,True,NONE
UCXuiHw-k05CnSu5_DjKUytw,LIVIANA Ch.,Independent,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UCutz6S1DcEHPnEb_r9ztkzg,Hinabe HongFei Ch. Pixela Project,Pixela Project,hiatus,2,0,2,True,True,True,NONE
UCni4SBfvmKlD7bu_ZWDmKiQ,CoolRin CH,Independent,hiatus,0,2,1,True,False,True,UNCERTAIN_DATES
UCpWF1pMyJtMvlynspGnThdw,MamMam Ch. 真夢マム,Independent,hiatus,0,2,1,True,False,True,UNCERTAIN_DATES
UCDCOWpzyBFsavT-K7AmN3MQ,Azato Stacia Ch.,Independent,active,1,0,2,True,False,True,NONE
UCZilc7jP-X_92Fii1uTIs0Q,Hoku Ch.,Independent,active,1,0,2,True,False,True,NONE
UCWU7kvLd_JBaBqO_ilTYd_A,Zekai Ch.【ARP】,Algorhythm Project,active,0,1,1,True,False,True,LIFECYCLE_END_UNKNOWN
UC0Ky1U__7T2Z5SOZCvNlJ-Q,Beariss Beam,Independent,hiatus,1,1,2,True,False,True,LIFECYCLE_END_UNCERTAIN
