event_id,creator_channel_id,creator_name,agency,event_type,event_date,event_year,evidence_tier,creator_source_class,verification_status,source_type,source_reference,retrieved_at,notes
evt_first_observed_UCdlpXdGT3_20240619,UCdlpXdGT3nGDTqIlxUcufCQ,Doyser,Independent,FIRST_OBSERVED,2024-06-19,2024,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2024-06-19 00:00:09+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2024-06-19 00:00:09+00:00). Not verified debut stream.
evt_first_observed_UCGBkYTR4t_20221112,UCGBkYTR4tMKS38TQHGWWLjg,Aito LH,Independent,FIRST_OBSERVED,2022-11-12,2022,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2022-11-12 10:00:02+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2022-11-12 10:00:02+00:00). Not verified debut stream.
evt_first_observed_UCompe4fS2_20200117,UCompe4fS2oUss8CGTuhOSxA,Gibpuri Ch,Independent,FIRST_OBSERVED,2020-01-17,2020,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2020-01-17 09:00:07+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2020-01-17 09:00:07+00:00). Not verified debut stream.
evt_debut_UC_nmh9Xyc_20230325,UC_nmh9XycGlquouvai2UC6g,Newzkung Raccoonza,Independent,DEBUT,2023-03-25,2023,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Dacapo,2026-09-09T05:30:40.708062+00:00,Debuted on 2023-03-25 as member of Algorhythm Project ORION unit.
evt_debut_UCpGtwNmbO_20230325,UCpGtwNmbOtgmcKIY81MIX_w,Nongwan TV,Independent,DEBUT,2023-03-25,2023,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Algorhythm_Project,2026-09-09T05:30:40.708062+00:00,Debuted on 2023-03-25 as member of Algorhythm Project ORION unit.
evt_debut_UCqhhWjpw2_20190729,UCqhhWjpw23dWhJ5rRwCCrMA,Aisha Channel,Independent,DEBUT,2019-07-29,2019,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,EXTERNAL_WIKI_AND_YOUTUBE,https://virtualyoutuber.fandom.com/wiki/Aisha,2026-09-09T05:30:40.708062+00:00,Debuted on 2019-07-29 as pioneer Thai VTuber under Guardian Angel A.I. / Polygon 0th Gen.
evt_graduation_UCqhhWjpw2_20251218,UCqhhWjpw23dWhJ5rRwCCrMA,Aisha Channel,Independent,GRADUATION,2025-12-18,2025,PRIMARY_EVENT_SPECIFIC,PRIMARY_OFFICIAL_ANNOUNCEMENT,PRIMARY_EVENT_SPECIFIC,OFFICIAL_AGENCY_ANNOUNCEMENT,https://x.com/PolygonOfficial/status/2001594838520779264,2026-09-09T05:30:40.708062+00:00,Graduated and retired on 2025-12-18.
evt_first_observed_UCC4Wb_x57_20231001,UCC4Wb_x57Ks43GRJ6x_wT5Q,Choya Ch.,Independent,FIRST_OBSERVED,2023-10-01,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-10-01 12:41:00+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-10-01 12:41:00+00:00). Not verified debut stream.
evt_first_observed_UCrIs26bEK_20230205,UCrIs26bEKOvA_lRnO2Hgscw,Unnämed,Independent,FIRST_OBSERVED,2023-02-05,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-02-05 15:00:07+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-02-05 15:00:07+00:00). Not verified debut stream.
evt_first_observed_UCuZ1ajvlG_20230317,UCuZ1ajvlGFUMCHZAPdetKHw,Dacapo Ch.【ARP】,Algorhythm Project,FIRST_OBSERVED,2023-03-17,2023,INFERRED_PROXY,INFERRED_PROXY,INFERRED_PROXY,CATALOG_TIMESTAMP_PROXY,channel_coverage.parquet:oldest_video_published_at=2023-03-17 08:19:46+00:00,2026-09-09T05:30:40.708062+00:00,Earliest cataloged public video upload in research dataset (2023-03-17 08:19:46+00:00). Not verified debut stream.
