wiki_title,page_url,channel_id,in_target_cohort,debut_date_raw,retirement_date_raw,status_raw,agency_raw,has_dates
210RI,https://virtualyoutuber.fandom.com/wiki/210RI,UCzOlFrxT8PsxRRA5E4MiMUQ,False,YouTube: 2019/11/01,2021/08/01,,[[HAJITABI]],True
A-mi,https://virtualyoutuber.fandom.com/wiki/A-mi,UCIGChk_c7ZNdtpOrmbHr2NA,False,YouTube: 2021/08/29,2024/06/30,,Independent,True
Aela V. Kazaela Kaizeria (Aela),https://virtualyoutuber.fandom.com/wiki/Aela%20V.%20Kazaela%20Kaizeria%20%28Aela%29,UCt3VBRNF3sR05y763RZx2xw,False,YouTube: 2022/06/11,|character_designer = Illustration: [https://twitter.com/Tam_U Tam-U],,[[ec19projekt]],True
Aisha,https://virtualyoutuber.fandom.com/wiki/Aisha,UCqhhWjpw23dWhJ5rRwCCrMA,True,YouTube: 2019/07/29,2025/12/18,,Associated Agency: [[Polygon Project]],True
Akemi Arlin,https://virtualyoutuber.fandom.com/wiki/Akemi%20Arlin,,False,2022/06/02,|character_designer = Illustration: [https://x.com/nakatokung Nakatokung],,[[Pixela Project]],True
Aki Masamune,https://virtualyoutuber.fandom.com/wiki/Aki%20Masamune,,False,2024/07/27,|character_designer = Illustration: [https://x.com/dolustoy Dolustoy],,[[AStars]],True
Amanogawa Kousei,https://virtualyoutuber.fandom.com/wiki/Amanogawa%20Kousei,UCJNuYG7F5YzslTSYChWcKBw,False,First content: 2021/01/27,|character_designer = Illustration/Designer:,,[[Easter:Egg]] (formerly),True
Anya A. Marshall,https://virtualyoutuber.fandom.com/wiki/Anya%20A.%20Marshall,UCDx_VxFnDh_yxtff1akPpvg,False,YouTube: 2023/02/10,|character_designer = Illustrator: [https://twitter.com/mayaflare Kaorihero],,[[Polygon Project]],True
Aoi Crescent,https://virtualyoutuber.fandom.com/wiki/Aoi%20Crescent,,False,YouTube: 2020/07/05,|character_designer = Illustration/Designer:,,Independent,True
April,https://virtualyoutuber.fandom.com/wiki/April,UCqBG-DyjOA-llSpScSDOxqA,False,YouTube: 2021/11/06,|character_designer = Current Illust: [https://x.com/cheese3sei cheese3sei],,Independent,True
Aranis Elvene,https://virtualyoutuber.fandom.com/wiki/Aranis%20Elvene,,False,YouTube: 2022/01/25,|character_designer = Illustration: [https://twitter.com/yasuabc0730 MAIRO],,[[Pixela]],True
Ardalita Lilibelle,https://virtualyoutuber.fandom.com/wiki/Ardalita%20Lilibelle,,False,YouTube: 2023/05/29,|character_designer = Illustrator: [https://x.com/kasu1923 Komeshiro Kasu],,[https://x.com/LuminaVProject LuminaVProject],True
Artisans Garden,https://virtualyoutuber.fandom.com/wiki/Artisans%20Garden,UCY3reV-jwagniwcghy1B4VA,True,,,,,False
AStars,https://virtualyoutuber.fandom.com/wiki/AStars,,False,,,,,False
Astella Rieka,https://virtualyoutuber.fandom.com/wiki/Astella%20Rieka,UC42syJbZL4oBacK-QFTie6w,False,YouTube: 2022/10/22,|character_designer =,,Independent,True
Asteroth,https://virtualyoutuber.fandom.com/wiki/Asteroth,UCOVpD7MesZKe44ZvLVuwXvA,True,2021/04/08,2026/01/30,,[[Algorhythm Project]],True
Ayna,https://virtualyoutuber.fandom.com/wiki/Ayna,,False,YouTube: 2022/02/18,2025/04/04,,[[Algorhythm Project]],True
Azato Stacia,https://virtualyoutuber.fandom.com/wiki/Azato%20Stacia,UCDCOWpzyBFsavT-K7AmN3MQ,True,YouTube: 2022/02/19,|character_designer = Design: [[Mosant]],,Independent,True
Baabel,https://virtualyoutuber.fandom.com/wiki/Baabel,UCAr4U_HGMYXn1EZjdWiGSLQ,True,|retirement_date    =,|character_designer = Model: @Dajinsrins,,[[Algorhythm Project]],True
Beariss Beam,https://virtualyoutuber.fandom.com/wiki/Beariss%20Beam,UCt3VBRNF3sR05y763RZx2xw,False,2D debut:,|character_designer = Illustration: [https://twitter.com/jimo_0074 Jimo],,[[EC19 Projekt]],True
Benjamin Niemeyer,https://virtualyoutuber.fandom.com/wiki/Benjamin%20Niemeyer,,False,YouTube: 2024/04/05,|character_designer = Illustration:,,Independent (formerly),True
Beta AMI,https://virtualyoutuber.fandom.com/wiki/Beta%20AMI,,False,YouTube: 2024/05/21,|character_designer = Illustrator: [https://x.com/yuukihagure Yuuki Hagure],,[[Pixela]],True
