vtuber_a,vtuber_b,shared_viewers,jaccard,overlap_coefficient,calculated_at
UC_ARP003_MAYLYN,UC_ARP005_DACAPO,144,0.3445,0.5373,2026-09-06T12:49:52.679193+00:00
UC_ARP005_DACAPO,UC_POLY002_LUCINE,123,0.3228,0.5857,2026-09-06T12:49:52.679193+00:00
UC_PIX001_HINABE,UC_POLY001_HOKU,119,0.4327,0.6041,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_ARP003_MAYLYN,112,0.2745,0.4444,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_ARP002_BAABEL,105,0.3134,0.5585,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_ARP005_DACAPO,90,0.1974,0.3571,2026-09-06T12:49:52.679193+00:00
UC_ARP005_DACAPO,UC_PIX001_HINABE,68,0.1608,0.3452,2026-09-06T12:49:52.679193+00:00
UC_ARP005_DACAPO,UC_POLY001_HOKU,68,0.1608,0.3452,2026-09-06T12:49:52.679193+00:00
UC_ARP003_MAYLYN,UC_POLY002_LUCINE,60,0.1435,0.2857,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_POLY001_HOKU,59,0.1513,0.2995,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_PIX001_HINABE,59,0.1513,0.2995,2026-09-06T12:49:52.679193+00:00
UC_ARP003_MAYLYN,UC_POLY001_HOKU,58,0.1425,0.2944,2026-09-06T12:49:52.679193+00:00
UC_ARP003_MAYLYN,UC_PIX001_HINABE,58,0.1425,0.2944,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_POLY002_LUCINE,55,0.1351,0.2619,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_ARP005_DACAPO,55,0.1288,0.2926,2026-09-06T12:49:52.679193+00:00
UC_PIX001_HINABE,UC_POLY002_LUCINE,48,0.1337,0.2437,2026-09-06T12:49:52.679193+00:00
UC_POLY001_HOKU,UC_POLY002_LUCINE,48,0.1337,0.2437,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_ARP003_MAYLYN,48,0.1176,0.2553,2026-09-06T12:49:52.679193+00:00
UC_ARP005_DACAPO,UC_INDIE001_AISHA,38,0.0931,0.25,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_POLY001_HOKU,36,0.1032,0.1915,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_PIX001_HINABE,36,0.1032,0.1915,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_POLY002_LUCINE,35,0.0964,0.1862,2026-09-06T12:49:52.679193+00:00
UC_ARP003_MAYLYN,UC_INDIE001_AISHA,30,0.0769,0.1974,2026-09-06T12:49:52.679193+00:00
UC_ARP002_BAABEL,UC_INDIE001_AISHA,29,0.0773,0.1908,2026-09-06T12:49:52.679193+00:00
UC_INDIE001_AISHA,UC_POLY001_HOKU,24,0.0738,0.1579,2026-09-06T12:49:52.679193+00:00
UC_INDIE001_AISHA,UC_PIX001_HINABE,24,0.0738,0.1579,2026-09-06T12:49:52.679193+00:00
UC_INDIE001_AISHA,UC_POLY002_LUCINE,21,0.0616,0.1382,2026-09-06T12:49:52.679193+00:00
UC_ARP001_SCHNEIDER,UC_INDIE001_AISHA,19,0.0592,0.125,2026-09-06T12:49:52.679193+00:00
