channel_id,handle,name,subscriber_count,agency,status,thai_confidence,priority,source_count,last_activity,last_collected,streams_collected,enabled
UC1s5T_9sfGrRxHJhjEceVSg,@kafunech,Kafune CH.,3340,Independent,ACCEPT,0.8,C,1,2024-05-11T01:02:42+00:00,,0,True
UC2IZur8-GAsn7gHQNTNOOgQ,@potiaht,Potia PBT,1520,Independent,ACCEPT,0.45,C,1,2026-05-15T08:42:00+00:00,,0,True
UC25e5qEqvVaG_VKrkTmJBmw,@luceneplg,Lucene Ch.,83200,Independent,ACCEPT,0.8,A,2,2026-09-05T17:08:55+00:00,,0,True
UC2AmIPun8jDuz1ksnxQTtcw,@sunraindre,sunraindre,2860,Independent,ACCEPT,0.8,C,1,2026-09-05T20:12:14+00:00,,0,True
UC2kjsGpKTwnFKZLLTUkK4Gw,@brrwynvibeent,BRRWYN Ch. / QURSE,4160,Independent,ACCEPT,0.2,C,1,2026-09-03T04:16:29+00:00,,0,True
UC32lsx7u7vqy63SguuuzmVg,@narellech.fixixvt,Narelle ch. 【FIXIX VT】,2120,Independent,ACCEPT,0.45,C,1,2025-12-22T06:00:06+00:00,,0,True
UC3gREX7tB8vEhPFgAOGr9xg,@arashifuu,1KFuu Ch.,23900,Independent,ACCEPT,0.8,B,1,2026-09-02T03:38:34+00:00,,0,True
UC35EDRwjO07DpevXGxo3Y0g,@ikutoch,IKUTO ch.,3130,Independent,ACCEPT,0.8,C,1,2026-05-31T15:00:35+00:00,,0,True
UC3ZglUA0HEUCuGbe5b8zXKw,@lupasch,The Lupas,1070,Independent,ACCEPT,0.45,C,1,2022-05-13T01:27:03+00:00,,0,True
UC2uv9lpMiz72v_qPVFDSZmA,@tmr_suiren,Suiren Ch. ◣PLO◥,2780,Independent,ACCEPT,0.8,C,1,2026-09-05T10:00:39+00:00,,0,True
UC3OnR-Tqd8dHmY-XNHO4iZw,@kukikohikaru4454,kukiko hikaru,1340,Independent,ACCEPT,0.55,C,1,2026-08-14T16:32:42+00:00,,0,True
UC1pYd8HCTuc8Kdh_8m_znpA,@freyrinavtuber,Freyrina,10100,Independent,ACCEPT,0.45,B,1,2026-09-03T10:12:11+00:00,,0,True
UC3H7_4Gz8PhHeMz0hHwuFTw,@morikareich,Morika Rei【ARRI】[Graduated],1200,Independent,ACCEPT,0.35,C,1,2025-12-28T16:17:43+00:00,,0,True
UC1ypugJJiDakFeDlxQO2Tew,@smokeswordch.,Smokesword Channel,1690,Independent,ACCEPT,0.5,C,1,2026-09-05T10:00:28+00:00,,0,True
UC3QTic1iBGQN_LzWo7JfDKQ,@callistosocool,CallistoSoCool Ch.,457,Independent,ACCEPT,0.65,D,1,2026-09-04T03:38:14+00:00,,0,True
UC3aHMGHRuQAonBUpE2a94bA,@ryoukatsu_meow,Ryoukatsu Ch.,718,Independent,ACCEPT,1.0,D,1,2026-09-03T14:35:52+00:00,,0,True
UC3TQ2myWZR8pZiUZ6Cs0-Sw,@bianca_arp,Bianca Ch. 【ARP】,26300,Algorhythm Project,ACCEPT,0.65,B,1,2024-04-13T13:38:54+00:00,,0,True
UC1z-ybaAe5LYfcnDdzp9SGw,@ginkowzap,กินข้าวแซ่บ,6780,Independent,ACCEPT,0.8,C,1,,,0,False
UC1o-4IZwxHOxGyUKN6xpNZA,@kimewa_yuki_soa,KIMEWA_YUKI 【SOA】,396,Independent,ACCEPT,0.8,D,1,2026-08-30T06:28:35+00:00,,0,True
UC2z7pz25bgnqLHdTd7EvVoQ,@shishiouseito_as,Shishiou Seito Ch. / AStars,5130,AStars Production,ACCEPT,0.2,C,2,2026-09-05T19:22:10+00:00,,0,True
UC3it6w4G8eUA98J2w60gBDQ,@kingorca,Orca-Okaru CH,1200,Independent,ACCEPT,0.8,C,1,2026-09-02T15:40:31+00:00,,0,True
UC27OebwwE2AWaJF8fUSkDcA,@moocowitchie,Mooco Witchie,15000,Independent,ACCEPT,0.55,B,2,,,0,False
UC2iD3jxz5srvHoV7gXtBYvQ,@davinav,Davina V.,2890,Independent,ACCEPT,0.55,C,1,2025-01-08T17:25:00+00:00,,0,True
UC3JqFoY66A90sdqe46mvbTA,@eliaharon,Eli Aharon 「イーライ」,40900,Independent,ACCEPT,0.8,B,1,2026-09-05T11:30:29+00:00,,0,True
UC2sAw3h-IzU3JOtvXVzTjxw,@yelong_vth,叶龙 Yelong CH.,230,Independent,ACCEPT,0.95,D,1,2026-08-29T21:08:46+00:00,,0,True
UC2mSWpVqjjQ7G7gEIfQ7p9w,@zeraphinahn,Zeraphina Hana,1470,Independent,ACCEPT,0.55,C,1,2026-09-02T10:00:08+00:00,,0,True
UC3D2LNEOdYQq5mu9hjoQTZQ,@rookcanch,ROOKCAN ch〖DPX〗,14200,DPX,ACCEPT,0.45,B,1,2026-08-20T14:51:20+00:00,,0,True
UC2eai5waelgobAHgp20DEYg,@ardalitalilibelle,Ardalita Lilibelle Ch. Lumina-First-Myth,50800,Lumina Live,ACCEPT,0.8,A,2,2026-09-05T19:19:37+00:00,,0,True
UC33VkaWtUAg84eE1BfScpZg,@panbibi,PanBiBi,4280,Independent,ACCEPT,0.8,C,1,2026-01-23T13:05:30+00:00,,0,True
UC1miE8rA7u3-CVPpuZGUT7g,@frozyvtuber,Frozy Ch.,9810,Independent,ACCEPT,0.8,C,1,2025-02-22T13:36:46+00:00,,0,True
UC31Hn_T44_qvI_yTY-BFbPw,@lindarlingch,LIN Darling Ch.,2970,Independent,ACCEPT,0.8,C,1,2026-07-12T10:28:45+00:00,,0,True
UC2mkbeIUVeIZeV7E2_dNCSg,@cerseilezlie,Cersei Lezlie,1300,Independent,ACCEPT,0.8,C,1,2026-08-28T02:49:06+00:00,,0,True
UC3ea-AGQlCDx_XOMO58C0Jg,@thedolltales,The Doll Tales,876,Independent,ACCEPT,0.45,D,1,2026-09-01T11:57:00+00:00,,0,True
UC3DORp_0MHcP00w2JxQ88_Q,@shirokchannel,SHIRO K. Channel,4670,Independent,ACCEPT,0.45,C,1,2026-08-30T15:21:57+00:00,,0,True
UC3cucsq4iSW-mU8-E18ESCQ,@cordeliamairich,Cordelia Mairi Ch.,1190,Independent,ACCEPT,0.45,C,1,2026-09-03T15:05:00+00:00,,0,True
UC2109-BUhq7iEs9k9PlCzsw,@cheryuch.1657,Cheryu Ch.,603,Independent,ACCEPT,0.2,D,1,2026-08-29T17:00:32+00:00,,0,True
UC3HM8L5j53x0WsliGNTXhbQ,@shanaruch,Shanaru Ch.,1050,Independent,ACCEPT,0.8,C,1,2025-10-08T02:55:03+00:00,,0,True
UC2erQwP2foSQARjw5zUbrnQ,@sirrisgoddess,Sirris Goddess Ch.,2080,Independent,ACCEPT,0.45,C,1,2026-09-01T05:30:58+00:00,,0,True
UC3O5wAgEVyNA1Jw3gyi-_jA,@mollyehe,MOLLY,80500,Independent,ACCEPT,0.35,A,1,2026-09-05T03:20:34+00:00,,0,True
UC1pSe5kxpCK1BwA_bZQ97-g,@fancychnsk,Fancy Ch.,1360,Independent,ACCEPT,0.8,C,1,2024-07-31T17:09:26+00:00,,0,True
UC3K3Crh966nzLx41obfJhaA,@drakonyamio,Drako Nya Mio,1620,Independent,ACCEPT,0.35,C,1,2026-08-26T00:00:57+00:00,,0,True
UC3QIcnp1II_iCt-_JG8btKQ,@era_arp,Era Ch.【ARP】,23100,Algorhythm Project,ACCEPT,0.45,B,2,2026-09-05T05:21:44+00:00,,0,True
UC3PeUyEXBffDBFpOiuk0odQ,@jisoomansololove1818,Jisooman Ch.,851,Independent,ACCEPT,0.8,D,1,2026-09-03T10:13:24+00:00,,0,True
UC3lFI2WTG-d0KrTRwAbjAlw,@aidenleonheart_srv,Aiden Leonheart【SRV】,4820,Independent,ACCEPT,0.35,C,1,2026-02-04T15:30:47+00:00,,0,True
UC238YXwPe4b4T57pFWioIfA,@arinevtuber,Arine Vtuber,11800,Independent,ACCEPT,0.2,B,1,2025-11-14T17:41:08+00:00,,0,True
UC1xmO5jVjOCeo02XCpq4WFA,@erimach,Erima Channel,17400,Independent,ACCEPT,0.35,B,2,2026-07-04T16:43:27+00:00,,0,True
UC1jZ0KuzFRgWD_s9E-KLcFQ,@yuemeilich,Yue Meili [ECR],1440,Independent,ACCEPT,0.45,C,1,2026-09-05T15:15:48+00:00,,0,True
UCGAtHjeWWgyWboVQ33ZQX6Q,@zenith_arp,Zenith Ch.【ARP】,52100,Algorhythm Project,ACCEPT,0.8,A,1,2026-08-22T17:53:36+00:00,,0,True
UCH9YSRP3hG56bs2lzmMoOVw,@kimhansummerec19projekt49,Kimhan Summer /คิมหันต์ [EC19 Projekt],5130,Independent,ACCEPT,0.8,C,1,2026-09-02T15:18:20+00:00,,0,True
UCG04BGkyQFQPV3jl5ANHPZA,@kyokoi_vtuber,Kyo Koi ,3250,Independent,ACCEPT,0.45,C,1,2026-08-16T19:22:09+00:00,,0,True
UCHCvUUDxEP1ve9Zg_tZP5ug,@luthia_ionix,Luthia IONIX,2470,Independent,ACCEPT,0.8,C,1,2026-07-13T01:07:54+00:00,,0,True
UCHJyN2D9QrjAujzsrDkguRA,@yuinahoshich,Yuina Hoshi Ch.,1360,Independent,ACCEPT,0.8,C,1,2026-08-13T00:19:23+00:00,,0,True
UCGFX2NZhsWp_hpZiYmyJnRQ,@eliciaa,Elice Ch.,5440,Independent,ACCEPT,0.8,C,1,2026-06-12T03:27:42+00:00,,0,True
UCGmm95ZgqXrfS-0pu980_tA,@renaidivipj,Renai ai Ch.〖DPX〗,1190,DPX,ACCEPT,0.2,C,1,2026-08-12T20:36:47+00:00,,0,True
UCGmvJX9TaHps4LB-J-cR6bQ,@sora_myojo,Sora Myojo《 EXia 》,605,EXia,ACCEPT,0.35,D,1,2026-08-31T16:10:13+00:00,,0,True
UCGjZDsjGu_BzQ_hPKTRBLLw,@aidinstreamer,Aidin,7130,Independent,ACCEPT,0.35,C,1,2026-09-02T01:43:17+00:00,,0,True
UCGOkjVQVJivJxDN7iSdQuLA,@moemiyabiv7,Moe Miyabi ⌜VZ⌟,12100,Virtual Zeven (VZ),ACCEPT,0.8,B,1,2026-08-31T20:06:25+00:00,,0,True
UCGGJmwrqz9q6BAVK0VWYE8g,@kdemon114,KDemon,22500,Independent,ACCEPT,1.0,B,1,2026-08-29T10:15:19+00:00,,0,True
UCFjBM9wvCqb5wBLpp_cHxfA,@jumpmy3,JumpMy Ch.【XIRCONIA】,7560,Independent,ACCEPT,0.8,C,1,2026-08-30T15:06:47+00:00,,0,True
