channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UCdlpXdGT3nGDTqIlxUcufCQ,Doyser,S,2590000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCGBkYTR4tMKS38TQHGWWLjg,Aito LH,S,1900000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCompe4fS2oUss8CGTuhOSxA,Gibpuri Ch,S,1900000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UC_nmh9XycGlquouvai2UC6g,Newzkung Raccoonza,S,781000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCpGtwNmbOtgmcKIY81MIX_w,Nongwan TV,S,606000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCqhhWjpw23dWhJ5rRwCCrMA,Aisha Channel,S,543000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCC4Wb_x57Ks43GRJ6x_wT5Q,Choya Ch.,S,488000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCrIs26bEKOvA_lRnO2Hgscw,Unnämed,S,476000,unknown,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCuZ1ajvlGFUMCHZAPdetKHw,Dacapo Ch.【ARP】,S,453000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCJ6HUQOWSjCHHdOgz13zFlA,TheQuillmon ⌜VZ⌟,S,405000,active,Virtual Zeven (VZ),Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCDSn4Ql7fuyjxsSNOws81iQ,BorntoDev,S,392000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCyA1KEXjcq2za_bsJp9KmZQ,RAF4EL,S,381000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCMvc8BlQ7r5gRbz-D2EY0LA,HØRI 07 ⌜VZ⌟,S,366000,active,Virtual Zeven (VZ),Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCPtSgQ5-yCPl9wbo5w7tmWQ,Evalia Ch.【ARP】,S,308000,active,Algorhythm Project,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
UCR1Htb-H1-tus7UPotPh69A,Laibaht Ch. / หลายบาท,S,288000,active,Independent,Tier S (>=100k subscribers),2026-09-07T18:09:48.704697+00:00
