sample_id,channel_id,video_id,year,video_published_at,time_bin,sampling_reason,t5_capture_count,t5_output_file
smp_UC0Ky1U__2020_85Mqi7k357E,UC0Ky1U__7T2Z5SOZCvNlJ-Q,85Mqi7k357E,2020,2020-05-30T13:30:10+00:00,bin_3_may_jun,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC0Ky1U__7T2Z5SOZCvNlJ-Q\85Mqi7k357E.parquet
smp_UC0Ky1U__2020_SN2ZObv8b7U,UC0Ky1U__7T2Z5SOZCvNlJ-Q,SN2ZObv8b7U,2020,2020-08-08T12:00:14+00:00,bin_4_jul_aug,baseline_stratified,91,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC0Ky1U__7T2Z5SOZCvNlJ-Q\SN2ZObv8b7U.parquet
smp_UC0Ky1U__2020_l2AmVo5rbdE,UC0Ky1U__7T2Z5SOZCvNlJ-Q,l2AmVo5rbdE,2020,2020-03-16T06:24:22+00:00,bin_2_mar_apr,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC0Ky1U__7T2Z5SOZCvNlJ-Q\l2AmVo5rbdE.parquet
smp_UC0Ky1U__2020_viRquNmlnkk,UC0Ky1U__7T2Z5SOZCvNlJ-Q,viRquNmlnkk,2020,2020-10-31T13:00:12+00:00,bin_5_sep_oct,baseline_stratified,96,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC0Ky1U__7T2Z5SOZCvNlJ-Q\viRquNmlnkk.parquet
smp_UCXtQTtP_2020_5P18g0pRKH8,UCXtQTtPJedfjqEPysorbsMg,5P18g0pRKH8,2020,2020-06-29T11:15:10+00:00,bin_3_may_jun,baseline_stratified,88,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCXtQTtPJedfjqEPysorbsMg\5P18g0pRKH8.parquet
smp_UCXtQTtP_2020_BR5l9mgxNpc,UCXtQTtPJedfjqEPysorbsMg,BR5l9mgxNpc,2020,2020-07-01T12:09:04+00:00,bin_4_jul_aug,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCXtQTtPJedfjqEPysorbsMg\BR5l9mgxNpc.parquet
smp_UCXtQTtP_2020_HXFN2RUTwSg,UCXtQTtPJedfjqEPysorbsMg,HXFN2RUTwSg,2020,2020-11-13T12:00:11+00:00,bin_6_nov_dec,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCXtQTtPJedfjqEPysorbsMg\HXFN2RUTwSg.parquet
smp_UCXtQTtP_2020_YQ7Pm61RwZ8,UCXtQTtPJedfjqEPysorbsMg,YQ7Pm61RwZ8,2020,2020-06-29T11:00:09+00:00,bin_3_may_jun,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCXtQTtPJedfjqEPysorbsMg\YQ7Pm61RwZ8.parquet
smp_UCY3reV-_2020_R1rQcXMT-mI,UCY3reV-jwagniwcghy1B4VA,R1rQcXMT-mI,2020,2020-09-18T04:20:16+00:00,bin_5_sep_oct,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCY3reV-jwagniwcghy1B4VA\R1rQcXMT-mI.parquet
smp_UCatSdbB_2020_Jripd-_9Qk8,UCatSdbBdnsXgFpCyhJ7jYGg,Jripd-_9Qk8,2020,2020-05-12T03:00:09+00:00,bin_3_may_jun,baseline_stratified,92,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCatSdbBdnsXgFpCyhJ7jYGg\Jripd-_9Qk8.parquet
smp_UCbeaB9M_2020_6OqaSvnrSEo,UCbeaB9MoD9IyXqBshyQuNRQ,6OqaSvnrSEo,2020,2020-12-06T11:33:07+00:00,bin_6_nov_dec,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCbeaB9MoD9IyXqBshyQuNRQ\6OqaSvnrSEo.parquet
smp_UCbeaB9M_2020__M3Jl8ISjSY,UCbeaB9MoD9IyXqBshyQuNRQ,_M3Jl8ISjSY,2020,2020-03-08T14:30:15+00:00,bin_2_mar_apr,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCbeaB9MoD9IyXqBshyQuNRQ\_M3Jl8ISjSY.parquet
smp_UCbeaB9M_2020_a_bk_3P1U34,UCbeaB9MoD9IyXqBshyQuNRQ,a_bk_3P1U34,2020,2020-04-11T12:35:22+00:00,bin_2_mar_apr,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCbeaB9MoD9IyXqBshyQuNRQ\a_bk_3P1U34.parquet
smp_UCcRaKGC_2020_33r7fE-P9u4,UCcRaKGCG3RFenb8D2php_Jw,33r7fE-P9u4,2020,2020-11-04T04:56:30+00:00,bin_6_nov_dec,baseline_stratified,95,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCcRaKGCG3RFenb8D2php_Jw\33r7fE-P9u4.parquet
