video_id,channel_id,channel_name,title,published_at,video_type,access_status,duration_seconds,view_count,like_count,comment_count,cataloged_at
ej-KxkWC5B8,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,คิดถึงทุกๆคนอยากคุยด้วยจัง,2024-05-11T01:02:42Z,replay_vod,public,3270,836,59,0,2026-09-06T15:07:39.783722+00:00
5-xNNzIfsXA,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,"Asterisk school ""ตัวตนที่สอง""",2024-04-30T04:45:00Z,shorts,public,17,5010,283,1,2026-09-06T15:07:39.783733+00:00
QwJYpzheVDY,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,เหตุผลว่าทำไมผมไม่อยากพูดภาษาอังกฤษ #valorant #valorantclips,2023-12-12T05:00:13Z,shorts,public,32,756,40,7,2026-09-06T15:07:39.783736+00:00
v5UJAXIS8pY,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,พูดคุยแลกเปลี่ยน w/@LucenePLG,2023-12-11T15:09:49Z,replay_vod,public,7437,989,59,3,2026-09-06T15:07:39.783738+00:00
Rdu99AdzK8I,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,jett มาพร้อมพลังย้อนเวลา #valorant #valorantclips,2023-12-10T05:00:11Z,shorts,public,52,766,38,2,2026-09-06T15:07:39.783740+00:00
HTyZMHqRd7I,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,ทำไรอ่ะ Sage....? #valorant #valorantclips,2023-12-09T03:00:08Z,shorts,public,42,821,54,3,2026-09-06T15:07:39.783741+00:00
MZTmZY_6h5c,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,มือใหม่หัดกู้ w/@momone_SRV,2023-11-06T03:08:16Z,replay_vod,public,6500,374,26,1,2026-09-06T15:07:39.783743+00:00
bxV8NNlFRYY,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,FreeTalk - เล่าประสบการณ์ไปเที่ยวที่เฟลที่สุด,2023-10-26T02:10:51Z,replay_vod,public,3641,260,17,1,2026-09-06T15:07:39.783744+00:00
ZHlxs0PFOsI,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,Maimai Festival ตบตู้ก่อนหนีไปเที่ยวยาวๆ,2023-10-19T03:15:48Z,replay_vod,public,5248,394,25,0,2026-09-06T15:07:39.783746+00:00
VyFReovwphI,UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,FreeTalk - เหงาคิดถึงงงงงง,2023-10-13T02:42:33Z,replay_vod,public,4615,240,21,1,2026-09-06T15:07:39.783747+00:00
