channel_id,year,video_count
UC-1J1TwDCLKe2p4HVchqGiw,2023,51
UC-1J1TwDCLKe2p4HVchqGiw,2024,216
UC-1J1TwDCLKe2p4HVchqGiw,2025,240
UC-1J1TwDCLKe2p4HVchqGiw,2026,193
UC-4w5VWWZRCK_wg9EJ-lr1w,2023,1
UC-7KSYyqZ5FthXGj4R1nVbw,2020,17
UC-7KSYyqZ5FthXGj4R1nVbw,2021,49
UC-7KSYyqZ5FthXGj4R1nVbw,2022,10
UC-7KSYyqZ5FthXGj4R1nVbw,2024,1
UC-7KSYyqZ5FthXGj4R1nVbw,2026,9
UC-8ovOIio6IUT-2DFsZvnMw,2022,120
UC-8ovOIio6IUT-2DFsZvnMw,2023,116
UC-8ovOIio6IUT-2DFsZvnMw,2024,1
UC-FO1d6VYrHvbPjzr4Fuwgg,2022,1
UC-FSZsfcwy_e-gRtYr8ns5A,2025,3
UC-FSZsfcwy_e-gRtYr8ns5A,2026,27
UC-KEm4E7Yp_t0Gzix4SwkwA,2026,152
UC-KdQvTPC9k3pLjy4Y1PBkg,2022,106
UC-KdQvTPC9k3pLjy4Y1PBkg,2023,107
UC-KdQvTPC9k3pLjy4Y1PBkg,2024,139
UC-KdQvTPC9k3pLjy4Y1PBkg,2025,63
UC-KdQvTPC9k3pLjy4Y1PBkg,2026,43
UC-Xb3VhAajR8bir4XpgtZNA,2026,52
UC-ZDJww4irljOotrkMG0FeA,2020,1
UC-ZDJww4irljOotrkMG0FeA,2022,2
UC-ZDJww4irljOotrkMG0FeA,2024,19
UC-ZDJww4irljOotrkMG0FeA,2025,20
UC-ZDJww4irljOotrkMG0FeA,2026,14
UC-e-7z5tyBNm8M0XxySq0lg,2025,24
UC-e-7z5tyBNm8M0XxySq0lg,2026,18
UC-hRgpBR4P_7FAf_73rEfAA,2022,4
UC-hRgpBR4P_7FAf_73rEfAA,2023,81
UC-hRgpBR4P_7FAf_73rEfAA,2024,39
UC-hRgpBR4P_7FAf_73rEfAA,2025,3
UC-qpvnKJF0bd-r10dtgkXyg,2024,25
UC-qpvnKJF0bd-r10dtgkXyg,2025,87
UC-qpvnKJF0bd-r10dtgkXyg,2026,138
UC-rl31Wigrn8iexKkpNl7jg,2021,9
UC-rl31Wigrn8iexKkpNl7jg,2022,2
UC-rl31Wigrn8iexKkpNl7jg,2023,97
UC-rl31Wigrn8iexKkpNl7jg,2024,111
UC-rl31Wigrn8iexKkpNl7jg,2025,123
UC-rl31Wigrn8iexKkpNl7jg,2026,83
UC-uDG_nIZg8zySZPAJ1Ex2Q,2025,207
UC-uDG_nIZg8zySZPAJ1Ex2Q,2026,96
UC-z7X8ICz1T-5gAJLgvYWCQ,2020,19
UC-z7X8ICz1T-5gAJLgvYWCQ,2021,18
UC-z7X8ICz1T-5gAJLgvYWCQ,2022,8
UC-z7X8ICz1T-5gAJLgvYWCQ,2023,30
UC05R2CcQn2TqvrgZRp-RF6w,2024,214
UC05R2CcQn2TqvrgZRp-RF6w,2025,117
UC05R2CcQn2TqvrgZRp-RF6w,2026,7
UC06ZTttwwgmmMdc6ZMkOOgg,2021,45
UC06ZTttwwgmmMdc6ZMkOOgg,2022,50
UC06ZTttwwgmmMdc6ZMkOOgg,2023,7
UC06ZTttwwgmmMdc6ZMkOOgg,2024,4
UC06xwFlEkBFdtxqV0WpVcqg,2025,83
UC06xwFlEkBFdtxqV0WpVcqg,2026,69
UC0C2fagfuiXuEgVCHEkJi4Q,2022,8
UC0C2fagfuiXuEgVCHEkJi4Q,2023,25
UC0C2fagfuiXuEgVCHEkJi4Q,2024,11
UC0C6NAfPq2HMMqxO4hXyG-g,2024,57
UC0C6NAfPq2HMMqxO4hXyG-g,2025,109
UC0C6NAfPq2HMMqxO4hXyG-g,2026,43
