account_key,platform,channel_id,label,url,eligibility_status,reason_code,included
youtube:UC-KdQvTPC9k3pLjy4Y1PBkg,youtube,UC-KdQvTPC9k3pLjy4Y1PBkg,Aventurine Ch,https://www.youtube.com/channel/UC-KdQvTPC9k3pLjy4Y1PBkg,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC05R2CcQn2TqvrgZRp-RF6w,youtube,UC05R2CcQn2TqvrgZRp-RF6w,Navy Lucifer | V.W.Y,https://www.youtube.com/channel/UC05R2CcQn2TqvrgZRp-RF6w,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC06ZTttwwgmmMdc6ZMkOOgg,youtube,UC06ZTttwwgmmMdc6ZMkOOgg,Akimoto Yuma Ch. [SOON],https://www.youtube.com/channel/UC06ZTttwwgmmMdc6ZMkOOgg,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC0CvHQnIDi7-Pk5nyc09EYw,youtube,UC0CvHQnIDi7-Pk5nyc09EYw,Kyubi Nine キュビ ナイン,https://www.youtube.com/channel/UC0CvHQnIDi7-Pk5nyc09EYw,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC0D7SuIVLYoD1hU3dxNxdMg,youtube,UC0D7SuIVLYoD1hU3dxNxdMg,Ziika ⌜VZ⌟,https://www.youtube.com/channel/UC0D7SuIVLYoD1hU3dxNxdMg,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC0FTyntIoEvvpfQOe75zJXA,youtube,UC0FTyntIoEvvpfQOe75zJXA,Marine Ch. マリン • チャリオット,https://www.youtube.com/channel/UC0FTyntIoEvvpfQOe75zJXA,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC0OQFhAPY9bgfKqi6u8MI7Q,youtube,UC0OQFhAPY9bgfKqi6u8MI7Q,Ryoukucha CH〖DPX〗,https://www.youtube.com/channel/UC0OQFhAPY9bgfKqi6u8MI7Q,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC1893R8hjcc2zIu1KPT4MGw,youtube,UC1893R8hjcc2zIu1KPT4MGw,Waririn Channel ⌜VZ⌟,https://www.youtube.com/channel/UC1893R8hjcc2zIu1KPT4MGw,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC2iD3jxz5srvHoV7gXtBYvQ,youtube,UC2iD3jxz5srvHoV7gXtBYvQ,Davina V.,https://www.youtube.com/channel/UC2iD3jxz5srvHoV7gXtBYvQ,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC2mSWpVqjjQ7G7gEIfQ7p9w,youtube,UC2mSWpVqjjQ7G7gEIfQ7p9w,Zeraphina Hana,https://www.youtube.com/channel/UC2mSWpVqjjQ7G7gEIfQ7p9w,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC2sAw3h-IzU3JOtvXVzTjxw,youtube,UC2sAw3h-IzU3JOtvXVzTjxw,叶龙 Yelong CH.,https://www.youtube.com/channel/UC2sAw3h-IzU3JOtvXVzTjxw,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC31Hn_T44_qvI_yTY-BFbPw,youtube,UC31Hn_T44_qvI_yTY-BFbPw,LIN Darling Ch.,https://www.youtube.com/channel/UC31Hn_T44_qvI_yTY-BFbPw,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC35EDRwjO07DpevXGxo3Y0g,youtube,UC35EDRwjO07DpevXGxo3Y0g,IKUTO ch.,https://www.youtube.com/channel/UC35EDRwjO07DpevXGxo3Y0g,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC3O5wAgEVyNA1Jw3gyi-_jA,youtube,UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,https://www.youtube.com/channel/UC3O5wAgEVyNA1Jw3gyi-_jA,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC3qnb4Sgo4QtiOi8iS7jOsQ,youtube,UC3qnb4Sgo4QtiOi8iS7jOsQ,Kumoku Tsururu Ch. Lumina-World-End,https://www.youtube.com/channel/UC3qnb4Sgo4QtiOi8iS7jOsQ,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC3sqLdjV0uxXfAzLE-fJeXw,youtube,UC3sqLdjV0uxXfAzLE-fJeXw,Cresent Ansel Ch.,https://www.youtube.com/channel/UC3sqLdjV0uxXfAzLE-fJeXw,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC48D7EILUGrBeffDrXXJAIQ,youtube,UC48D7EILUGrBeffDrXXJAIQ,Langler Ch.,https://www.youtube.com/channel/UC48D7EILUGrBeffDrXXJAIQ,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
youtube:UC4g_aNYnbZ564FUrzHvoFQA,youtube,UC4g_aNYnbZ564FUrzHvoFQA,Moe Kaori  ⌜VZ⌟,https://www.youtube.com/channel/UC4g_aNYnbZ564FUrzHvoFQA,STRICT_VIRTUAL,EXACT_CHANNEL_ID_REVIEW,True
