channel_id,label,eligibility_status,reason_code,strict_surface,identity_review_status,identity_event_type,identity_event_date,identity_source_url,identity_source_title,role_review_status,role_entity_type,role_roles,channel_review
UC-KdQvTPC9k3pLjy4Y1PBkg,Aventurine Ch,STRICT_VIRTUAL,PUBLIC_CHANNEL_RESOLUTION_V1,True,SUPPORTED,identity_start,2022-04-29T14:05:37+00:00,https://www.youtube.com/watch?v=XOf0DC9c9xE,❈ DEBUT STREAM ❈ โรงเตี้ยมที่มีเจ้าของเป็นเทพี รึเปล่านะ ?,,,[],"{""channel_id"": ""UC-KdQvTPC9k3pLjy4Y1PBkg"", ""label"": ""Aventurine Ch"", ""old_status"": ""PROVISIONAL_VIRTUAL"", ""new_status"": ""STRICT_VIRTUAL"", ""entity_type"": ""virtual_creator"", ""presentation_format"": ""unknown"", ""roles"": [""performer""], ""source_urls"": [""https://www.youtube.com/channel/UC-KdQvTPC9k3pLjy4Y1PBkg/about"", ""https://www.youtube.com/watch?v=afI0sTuLf7o"", ""https://www.youtube.com/watch?v=JCbkAUGHg-4""], ""evidence_summary"": ""Two own game/work streams retain Aventurine identity, own profile/channel links and repeated Aventurtuber/VTuber presentation, separate from listed colleagues."", ""decision_reason"": ""Consistent self-presentation across uploads establishes the uploader as the performer, not merely a host."", ""conflict_flag"": false, ""reviewer"": ""Codex public channel evidence review"", ""reviewed_at"": ""2026-09-19T10:36:30.965249+00:00""}"
UC05R2CcQn2TqvrgZRp-RF6w,Navy Lucifer | V.W.Y,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_INDIVIDUAL_VIRTUAL_ROSTER_SIGNAL,True,SUPPORTED,identity_start,2024-02-18T14:00:07+00:00,https://www.youtube.com/watch?v=dhIy_qAdefw,[🔴Debut] Navy Lucifer เทวตกสวรรค์ปรากฏกาย | V.W.Y,,,[],
UC06ZTttwwgmmMdc6ZMkOOgg,Akimoto Yuma Ch. [SOON],STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2021-02-18T13:31:53+00:00,https://www.youtube.com/watch?v=4ndFYd_U14c,🔴 First Debut Live NO.02 ' Akimoto Yuma ' @NEVVER,,,[],
UC0CvHQnIDi7-Pk5nyc09EYw,Kyubi Nine キュビ ナイン,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2022-12-07T13:04:37+00:00,https://www.youtube.com/watch?v=mIE_zEXq9Vg,【DEBUT STREAM】มาเริ่มต้นเรื่องราวของเรากันเถอะ !!,,,[],
UC0D7SuIVLYoD1hU3dxNxdMg,Ziika ⌜VZ⌟,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2023-09-09T12:01:38+00:00,https://www.youtube.com/watch?v=sUloq4azcPU,🌊 [DEBUT] คลื่นลูกใหม่.. พร้อมจะมาซัดหัวใจคุณ 💙#VIRTUALZEVEN,,,[],
UC0FTyntIoEvvpfQOe75zJXA,Marine Ch. マリン • チャリオット,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,VERIFIED,identity_start,2023-04-15T08:00:11+00:00,https://www.youtube.com/watch?v=kq6z98TDZYs,【DEBUT STREAM】🦋 Marine Ojou-sama Arrival !  -  Vtuber คุณหนูเนโครแมนเซอร์ #Vtuber,,,[],
UC0OQFhAPY9bgfKqi6u8MI7Q,Ryoukucha CH〖DPX〗,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2024-09-18T13:02:39+00:00,https://www.youtube.com/watch?v=-y4WoC-Lchg,[LIVE🔴]- DEBUT Human transcendence - Ryoukucha,,,[],
UC0XEfbSBJTqH5sH79R7ZXKw,Muay​ The Barista ,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,AMBIGUOUS,unknown,,https://www.youtube.com/watch?v=tYSAMBcDjSY,[DEBUT] เปิดร้านกาแฟมาหาเงินใช้หนี้แล้วครับ🥺,,,[],
UC0cpWaYfZHppuIXGN6on59Q,Nisa Ch. นิสาปี้,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,REJECTED_AS_IDENTITY_EVENT,not_identity_event,,https://www.youtube.com/watch?v=t_MROCvHJw0,【MiNi Talk】EP.3 SPECIAL ยูนิตมินิเดบิวต์ครบ 6 เดือน 【🕛🌃⭐👅】,,,[],
UC1893R8hjcc2zIu1KPT4MGw,Waririn Channel ⌜VZ⌟,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,VERIFIED,identity_start,2024-04-26T13:00:00+00:00,https://www.youtube.com/watch?v=wRj2mkVkDEM,【🔴 DEBUT】พร้อมทะลุจอมหาคุณแล้วค่ะ !!✨ #VIRTUALZEVEN,,,[],
UC1Ow3RRt6TlD5__a3t-UYLQ,Kurosegawa Renjimaru 黒瀬川 櫺子丸 Ch.,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,REJECTED_AS_IDENTITY_EVENT,not_identity_event,,https://www.youtube.com/watch?v=u1gv74lV3rE,Kurosegawa Renjimaru Vtuber Type ZEPETO Debut 15/06/24,,,[],
UC1pSe5kxpCK1BwA_bZQ97-g,Fancy Ch.,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,REJECTED_AS_IDENTITY_EVENT,not_identity_event,,https://www.youtube.com/watch?v=n5gXtyxDW0E,็Hello April Fool Day【VtuberTH】 - newSEKAI Project -【Fancy West】debut PV0,,,[],
UC2erQwP2foSQARjw5zUbrnQ,Sirris Goddess Ch.,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,REJECTED_AS_IDENTITY_EVENT,not_identity_event,,https://www.youtube.com/watch?v=8pELivaPt8I,【Short PV Debut】✦ Sirris Goddess ✦,,,[],
UC2iD3jxz5srvHoV7gXtBYvQ,Davina V.,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2021-02-28T12:00:51+00:00,https://www.youtube.com/watch?v=eEstC5TlvuA,【VTUBER DEBUT】เปิดเซิฟ Davina VarReise ✨,,,[],
UC2mSWpVqjjQ7G7gEIfQ7p9w,Zeraphina Hana,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2024-08-27T12:53:52+00:00,https://www.youtube.com/watch?v=Rdd3qxAhQ3E,【🔴Free Talk/DEBUT 】อะแห่ม! มานั่งทำความรู้จักกันหน่อยดีกว่า!!,,,[],
UC2mkbeIUVeIZeV7E2_dNCSg,Cersei Lezlie,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,REJECTED_AS_IDENTITY_EVENT,not_identity_event,,https://www.youtube.com/watch?v=9SF2AXr80cM,PV  Debut Cersei,,,[],
UC2q-fPPrsyKOjRpmm--vzPQ,Kuroyoru Yami,HOLD_NEEDS_CHANNEL_REVIEW,NO_AFFIRMATIVE_CHANNEL_LEVEL_VIRTUAL_EVIDENCE_IN_CURRENT_REVIEW,False,AMBIGUOUS,unknown,,https://www.youtube.com/watch?v=cn5NDYAoWyY,Debut,,,[],
UC2sAw3h-IzU3JOtvXVzTjxw,叶龙 Yelong CH.,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2024-10-22T13:05:44+00:00,https://www.youtube.com/watch?v=imnNLbSIPDw,[ LIVE DEBUT ] YELONG มังกรสุดหล่อเท่มาหาคุณแล้วครับ #Yelongvth,,,[],
UC31Hn_T44_qvI_yTY-BFbPw,LIN Darling Ch.,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2021-07-30T13:02:28+00:00,https://www.youtube.com/watch?v=KeK4rvH8B9s,[DEBUT]  ลินลินเอลฟ์แสบซ่า มาแนะนำตัวกับทุกคนแน้ววว!,,,[],
UC35EDRwjO07DpevXGxo3Y0g,IKUTO ch.,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,SUPPORTED,identity_start,2022-05-15T12:55:47+00:00,https://www.youtube.com/watch?v=-IQGqj6NX_M,[ 🔴Debut ]  พร้อมแล้วถือเคียวไปกันเลย !!!!,,,[],
UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,STRICT_VIRTUAL,IDENTITY_EVENT_WITH_EXPLICIT_VIRTUAL_SIGNAL,True,VERIFIED,identity_start,2022-12-23T13:00:46+00:00,https://www.youtube.com/watch?v=YvHFeG9IW-c,[DEBUT STREAM] เคยเห็นวีพระเจ้าที่ชื่อมอลลี่มะ? #vestiny,,,[],
