channel_id,label,old_status,new_status,entity_type,presentation_format,roles,source_urls,evidence_summary,decision_reason,conflict_flag,reviewer,reviewed_at
UCAoZkJiB43mNUD6aadeozRw,Asatsuyu Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCAoZkJiB43mNUD6aadeozRw/about""]","Channel About identifies Asatsuyu as a rabbit maid presented as a VTuber, and links the matching Asatsuyu_CH profile.",Explicit channel-owned virtual-performer self-description.,False,Codex public channel evidence review,2026-09-19T10:34:21.276692+00:00
UCRaAduo6w37DoPahoaiVbTg,Chana チャナ,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCRaAduo6w37DoPahoaiVbTg/about""]","Channel About introduces Chana as an Online Station betta-fish VTuber, with Chana-specific stream and art tags.",Individual named persona on this channel; affiliation does not make it an agency host account.,False,Codex public channel evidence review,2026-09-19T10:34:21.276705+00:00
UC6TOqqD-TLbPlnV5i3DiIrw,NEMI,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist"", ""rigger"", ""singer""]","[""https://www.youtube.com/channel/UC6TOqqD-TLbPlnV5i3DiIrw/about"", ""https://www.youtube.com/watch?v=a5FRCFgOAKY"", ""https://www.youtube.com/watch?v=bmgshvq3eNc"", ""https://www.youtube.com/watch?v=a41kjcs23D4""]","NEMI About lists drawing, model rigging and singing. The uploader-owned teaser links its own debut; teaser, debut and pudding performance consistently identify NEMI with VTUBER tags and NEMI012 links. The performance distinguishes NEMI from other group members.",Multiple consistent own-persona presentations across uploads establish virtual performance in addition to art/rigging; not inferred from production credits alone.,False,Codex public channel evidence review,2026-09-19T10:34:21.276712+00:00
UCqu5twYqzKGrRyIrcvg4YXA,Rainnie Rgrada Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""brand_ambassador"", ""singer""]","[""https://www.youtube.com/channel/UCqu5twYqzKGrRyIrcvg4YXA/about""]","About introduces Rainnie as a girl from Rgrada, a RiFF Studio brand ambassador who performs as a VTuber, including acting, singing, dance and games.",Direct self-description of Rainnie as the virtual performer; brand affiliation is not evidence of a project-only account.,False,Codex public channel evidence review,2026-09-19T10:34:21.276716+00:00
UCpBjGiBLFJ8x-7kHDtPY74g,SE1 Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCpBjGiBLFJ8x-7kHDtPY74g/about""]",About introduces Shiai Seiki and explicitly states Thai VTuber.,Channel-level self-identification establishes the individual virtual creator.,False,Codex public channel evidence review,2026-09-19T10:34:21.276719+00:00
UCYWG9ZKz94VcpEqvvhBXk0A,Tora Mochizuki ,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCYWG9ZKz94VcpEqvvhBXk0A/about"", ""https://www.youtube.com/watch?v=CX5obcc7fwY"", ""https://www.youtube.com/watch?v=fLJFHWR47pQ""]","About identifies Tora Mochizuki as the butler persona. Two uploader-owned karaoke/game streams consistently use Tora identity, VTuber tags, matching social links and separate other-channel sections.","Repeated self-presentation by the same uploader across distinct streams, rather than a guest appearance or one tagged clip.",False,Codex public channel evidence review,2026-09-19T10:34:21.276722+00:00
UCcPlWQeuFutZ8VllrN_O2YA,Ume Ch. しのはな❀梅,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,Live2D,"[""virtual_performer"", ""artist""]","[""https://www.youtube.com/channel/UCcPlWQeuFutZ8VllrN_O2YA/about"", ""https://www.youtube.com/watch?v=nFhu02VCFFk"", ""https://www.youtube.com/watch?v=XQOfVZVpyAg""]",About identifies Shinohana Ume and credits her own model art and a separate Live2D parent. A later own stream explicitly introduces Ume as VtuberTH; the final stream describes her history as a virtual performer.,Explicit first-person performer description supports both virtual-creator and artist roles. Graduation does not negate historical virtual activity.,False,Codex public channel evidence review,2026-09-19T10:34:21.276725+00:00
UCXtQTtPJedfjqEPysorbsMg,久檻夜くぅ / Qualia Qu Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""singer""]","[""https://www.youtube.com/channel/UCXtQTtPJedfjqEPysorbsMg/about""]","About identifies Qu Qualia as an ice-fairy VTuber in Japanese, English and Thai and links her own profile separately from Re:AcT.",Explicit self-description of one virtual persona; agency links do not turn this into the agency account.,False,Codex public channel evidence review,2026-09-19T10:34:21.276727+00:00
UC-KdQvTPC9k3pLjy4Y1PBkg,Aventurine Ch,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UC-KdQvTPC9k3pLjy4Y1PBkg/about"", ""https://www.youtube.com/watch?v=afI0sTuLf7o"", ""https://www.youtube.com/watch?v=JCbkAUGHg-4""]","Two own game/work streams retain Aventurine identity, own profile/channel links and repeated Aventurtuber/VTuber presentation, separate from listed colleagues.","Consistent self-presentation across uploads establishes the uploader as the performer, not merely a host.",False,Codex public channel evidence review,2026-09-19T10:36:30.965249+00:00
UCVEL1jAgCQNQcRN9Ble6lMw,Chaos Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCVEL1jAgCQNQcRN9Ble6lMw/about"", ""https://www.youtube.com/watch?v=1CkuVKdvGpk"", ""https://www.youtube.com/watch?v=uMb6FHVdjZA""]",About identifies Chaos as a hawk persona. Own schedule and ASMR stream repeatedly identify Chaos through VTuber-tagged content and matching chaos_vtuber/chaosvtuber profiles.,Same named uploader consistently presents the persona across distinct uploads.,False,Codex public channel evidence review,2026-09-19T10:36:30.965256+00:00
