channel_id,label,trigger,identity_review_status,event_type,source_title,review_reason,audit_disposition,audit_note
UC_LTVw7bj_wFH4n8POeSNbw,Faminé Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,「🔴LIVE DEBUT」 ฉันอดอยากเพราะเปย์ไปหนักยังไงล่ะ 「Faminé」 #ARProject,Famine named persona and debut context; no prior continuity inferred.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UC4x2o7dyxOqFLoA9NKxf0Iw,Ivy Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】ไลฟ์เดบิวต์ ปิ้ว ปิ้ว ปิ้ว「Ivy」 #ARProject,Ivy own named profile and virtual debut context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UC6lZLAOgSYgJ6ZkW2ZTI75Q,Effy Ch.【ARP】,organizational_or_channel-type token in label/title,VERIFIED,identity_start,【🔴LIVE DEBUT】Our story starts today! 💌【Effy】#arproject,Description states story starts today and links Effy own profile.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UC8GsIgxeIHQMaTQgkEUXhMw,Ari Kate Ch.,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴Live DEBUT】 สาวข้างห้องคนที่ 2 จาก GND Project !! 【Ari Kate #GND】,Ari Kate debut links own named VTuber profile.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UC9WXRLLO7DrcJvUTg69_lkA,Leox Ch. Genesis Project,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【Debut Stream】- บะโบ้เดบิวต์ | Leox 'Genesis Project',Leox named virtual debut with matching profile.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCAr4U_HGMYXn1EZjdWiGSLQ,Baabel Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】บาทหลวงปีศาจ พร้อมรับฟังคำสารภาพบาปจากคุณแล้วครับ【Baabel】#arproject,Baabel debut source has same named persona tags and official project reference.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCcFIthTrwa6N-1ri9sQZstw,Poru Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】สวัสดีครับพี่ๆ ยินดีต้อนรับสู่ไลฟ์เดบัทของวายร้ายสุดเท่ที่ยิ่งใหญ่สุด:)【Poru】#arproject,Poru same named profile and debut context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCcgDP2RmeCqW1GTms1mkUlQ,Karu Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】ก็เข้ามาดิ【Karu】#arproject,Karu same named profile and debut context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCdF31qg1W2KsKxSuSFECflA,Copper Vtuber,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴DEBUT LIVE】จะโผล่หัวแล้วนะพร้อมยัง【Copper | Chark Project】,Copper explicitly identifies himself separately from other roster members.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCeZoMTRssGhbl9vS5lvYsQg,Rarin Ch.,organizational_or_channel-type token in label/title,VERIFIED,identity_start,「🔴LIVE DEBUT」ปฐมบทนาคที่รันทดสุดในสามโลก「Rarin / Vniverse Project」,"Rarin source explicitly describes debut and contains introduction, goals and presentation chapters.",RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
