platform,platform_id,name,url
x,ManenekoMutelu,Mikotomi Maneneko Ch. Lumina-Mutelu,https://x.com/ManenekoMutelu
tiktok,7264620961701413893,CopperYouKnow?,https://www.tiktok.com/@coppercharkproject
x,Shian_Blueth,Shian Blueth,https://x.com/Shian_Blueth
youtube,UCLUmZp46kwJs1YENDLsGV9A,Lyric Ursae,https://www.youtube.com/channel/UCLUmZp46kwJs1YENDLsGV9A
youtube,UCULjjXc2IgdCBaEVD-Qgaqw,[ad] Khaow | ยุติบทบาท / ทอดทิ้งงาน,https://www.youtube.com/channel/UCULjjXc2IgdCBaEVD-Qgaqw
facebook,ponpan.kanbanjong,ponpan.kanbanjong,https://www.facebook.com/ponpan.kanbanjong
twitch,525422103,imPEACHII,https://www.twitch.tv/impeachii
youtube,UCtzBNRsOnn_xYOmXm09YAMw,Tanujo [ECR],https://www.youtube.com/channel/UCtzBNRsOnn_xYOmXm09YAMw
tiktok,7193199636826571782,nneviris_ตัวจริง,https://www.tiktok.com/@nneviris
x,EuRoxyz_,EuRo,https://x.com/EuRoxyz_
twitch,140181507,CupOChino,https://www.twitch.tv/cupochino
x,kyoyavtuberth,Kyoya Keiran,https://x.com/kyoyavtuberth
x,Kevara_EPR,Kevara ch. Euphora,https://x.com/Kevara_EPR
twitch,1337222632,paivtuber,https://www.twitch.tv/paivtuber
tiktok,7140658031889187846,Vellva Koray,https://www.tiktok.com/@vellva_koray
x,RUNAVtuber,RUNA Ch.[Vtuber],https://x.com/RUNAVtuber
twitch,795519126,KiriuMugi,https://www.twitch.tv/kiriumugi
tiktok,7058716591614231553,Minilorr,https://www.tiktok.com/@mini_lorii
tiktok,7033735796301530113,จอมหมาร,https://www.tiktok.com/@poppythepuppy_vtuber
twitch,1056153817,mizugracia,https://www.twitch.tv/mizugracia
x,AlizabylethChuu,Alizabyleth Ch.,https://x.com/AlizabylethChuu
youtube,UCeogDPUhePBegonMId-BM_Q,Holie Ch.,https://www.youtube.com/channel/UCeogDPUhePBegonMId-BM_Q
x,ReginaVtuberth,Regina Ch.,https://x.com/ReginaVtuberth
tiktok,7029524162351760386,Zenith☄,https://www.tiktok.com/@zenith_arp
tiktok,7151314791184352261,Anya A. Marshall,https://www.tiktok.com/@anyaplg
youtube,UCSMH958kINERMdSx7u76Fmg,Nemuru 夜雲 ネムル,https://www.youtube.com/channel/UCSMH958kINERMdSx7u76Fmg
youtube,UCPkvqo6J3A8Y2_mCQmUl-zA,Melinoir Ch.,https://www.youtube.com/channel/UCPkvqo6J3A8Y2_mCQmUl-zA
facebook,noyashi.noey33,noyashi.noey33,https://www.facebook.com/noyashi.noey33
