id,platform,platform_id,id_namespace,name,url,review_status,account_id,evidence_id,reviewer,reviewed_at
candidate_00ae66312be4c55df4af,x,,,Marinelle,https://x.com/MarinelleVtuber,needs_evidence,,ev_ca1082ae008fdd6d9d8f,,
candidate_00c39d68d0b5fa8dc0c3,twitch,,,altairalal,https://www.twitch.tv/altairalal,needs_evidence,,ev_ff704cf8c4f394a5391f,,
candidate_00eb5829fe74cab9b8be,x,,,Drako Nya Mio,https://x.com/DrakoNyaMio,needs_evidence,,ev_49e1ad8d140e4161b800,,
candidate_0184e75b36dac49c7103,youtube,,,LonitaCH,https://www.youtube.com/@LonitaCH,needs_evidence,,ev_6185be70b1cc441615e9,,
candidate_01c8a96c00e4cd2a501a,x,,,MyxNyx | VtuberTH,https://x.com/MyxNyxx,needs_evidence,,ev_137676514dac0d965453,,
candidate_01daf10143ed6bb9efe3,x,,,Chalatte Jisooman,https://x.com/T1Jisoomanz,needs_evidence,,ev_26dca13ee0ae55541279,,
candidate_021eceda2342a97d99b2,x,,,Shouka Dreadprince | Virtual Zeven EN,https://x.com/ShoukaDP_VZ,needs_evidence,,ev_de90a241e776832c3d6c,,
candidate_027db7b5d5c18a27731b,twitch,773674319,user_id,buruchannel,https://www.twitch.tv/buruchannel,verified,acct_a495dd0aa3cc80c1440f,ev_c86ad1be5008f976655c,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_029097bfc40fe9ef05d2,twitch,1056058346,user_id,elan_t,https://www.twitch.tv/elan_t,verified,acct_499e535fcd235f676456,ev_7d56d19a9521623597e6,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_029df66e7f880e47c611,youtube,UC9UHurp_G26BzYGxLvUzZTA,channel_id,Hakka,https://www.youtube.com/@HakkaV,verified,acct_cfa8638020a41d97f22a,ev_7b7704e51c08ec6aacba,ChatGPT,2026-09-16T15:38:46.627996+00:00
candidate_0315804e6120372e4930,tiktok,6773604999152944129,web_user_id,Aisha Channel,https://www.tiktok.com/@aishachannelofficial,verified,acct_e871885ca24231bb836a,ev_9f448e72a5cece276298,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_033e1343505a3b6aa163,tiktok,6888422734545830913,web_user_id,Lapine,https://www.tiktok.com/@lapineplg,verified,acct_887ed8131f69e131fd8e,ev_950b82069f469799da05,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_0350e5b2f2c88c03e40c,youtube,UCY342fay_tyCV5bdoy2zTZQ,channel_id,QURSE,https://www.youtube.com/channel/UCY342fay_tyCV5bdoy2zTZQ,verified,acct_18e9bd4b6e94b3f3d96c,ev_43094c737036b02fc38b,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_035a51cd0fa94837553b,tiktok,7260030550563357702,web_user_id,Taiyo Bouken,https://www.tiktok.com/@taiyobouken,verified,acct_37af3308dcced5818ef6,ev_c6a1fdd9187720cb657b,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_035bc14f5d56e5fc1fb6,youtube,,,MAYANuT,https://www.youtube.com/@MAYANuT,needs_evidence,,ev_7489ff04df24d52c20ab,,
candidate_036b56d9b5ea8c5a2b57,x,,,Wang Cheng Se | V.W.Y,https://x.com/WangChengSe,needs_evidence,,ev_39d517a1eaf187bffe59,,
candidate_04095695980e4701fd9d,x,,,NiewLock,https://x.com/NiewLock,needs_evidence,,ev_eb368c6557056bced227,,
candidate_04274744e1556f5c055f,twitch,1167899779,user_id,sapphire_mem,https://www.twitch.tv/sapphire_mem,verified,acct_63082a143c82a1b0965b,ev_d6e56481bfc59f194422,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_042bef99b3849391b1ea,tiktok,7454243039533040648,web_user_id,Kiseria Selestelle,https://www.tiktok.com/@kisseria_,verified,acct_5e2ff5a9da656c5657a2,ev_deef4b6d0eb29e33c814,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_052376f5c345c9d8160d,tiktok,,,lamuofficials,https://www.tiktok.com/@lamuofficials,needs_evidence,,ev_ea413db52cd2e718c24c,,
candidate_05263e92b3c2b25190fd,tiktok,,,Kiyomi Ch.,https://www.tiktok.com/@kitsunechanizuma,needs_evidence,,ev_c8aa34a82cba1b1cd557,,
candidate_0531e6f052758271c560,youtube,,,RionChitose_AS,https://www.youtube.com/@RionChitose_AS,needs_evidence,,ev_68f86c46ef9d3cc96bb3,,
candidate_05e9319fa904951ee256,twitch,,,Rainbows Fukio,https://www.twitch.tv/fukio_vt,needs_evidence,,ev_2a21cbc1ef9e2cdab1e0,,
candidate_0631160c6240fd492ae7,x,,,Moe Miyabi,https://x.com/moe_miyabi,needs_evidence,,ev_255b5c4a0b4132c5d2a2,,
candidate_066e621e3e51f332026b,x,,,MIKA'mu | Independent Vtuber TH,https://x.com/kustumino_vth,needs_evidence,,ev_4227823208420249c5a4,,
candidate_071e3dd55b82f528d257,twitch,160464273,user_id,lanevtuber,https://www.twitch.tv/lanevtuber,verified,acct_6c4eea7347785627bbeb,ev_e881283bfb2e22c5821a,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_072242470b7c32a68699,tiktok,,,Angela,https://www.tiktok.com/@.angelaelfmaid,needs_evidence,,ev_de66e2a8a069b42df9e1,,
candidate_0787952c8ad54b4236dd,twitch,1495753963,user_id,dragoooon420,https://www.twitch.tv/dragoooon420,verified,acct_6cd90a4d34964710e8e5,ev_f3133981d30e7c595956,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_07c7524c27655734f8e5,tiktok,7380594249354773505,web_user_id,Lumiania_Ethereal,https://www.tiktok.com/@luminiaxd,verified,acct_ce4f778c67b7ea37cc08,ev_91f3ea410c7122f24e74,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_07cb93ca5ec86cd602b7,twitch,952875887,user_id,NIKKAYz,https://twitch.tv/nikkayz,verified,acct_7984c0a9a44852837b71,ev_4153162da3069969f98e,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_09002d93e78c358f46f6,youtube,,,AofEdits,https://www.youtube.com/@AofEdits,needs_evidence,,ev_1b2b51d1adc4d87be783,,
candidate_093c2d7f6288f90c77cb,youtube,,,Zekai Ch.【ARP】,https://www.youtube.com/zekaicharp,needs_evidence,,ev_7acc986b7793826266ad,,
candidate_097369a8b5dc96fdac41,x,,,Kingyo Maemi,https://x.com/kingyo_maemivt,needs_evidence,,ev_961a5b6cc738fcc48215,,
candidate_09fe7fe170680e26254d,youtube,,,QurseVibeENT,https://www.youtube.com/@QurseVibeENT,needs_evidence,,ev_7ecb997097400d7c8c20,,
candidate_0a69434753d2f94ada2e,x,,,KurosawaSP,https://x.com/KurosawaSP,needs_evidence,,ev_ecc7b0db40a025e23946,,
candidate_0bc74aaef9c01203cf18,x,,,Kuronia | VtuberTH,https://x.com/KurosekiNia,needs_evidence,,ev_01782399cc45753be564,,
candidate_0bcf4d736a5695d61026,x,,,Saya Melcoltor,https://x.com/leeorkim,needs_evidence,,ev_a2f4ae21cf5461b0bc2f,,
candidate_0bd325052f265161a04d,youtube,UCGzgTzdaT1_RJM2rZm4O-dg,channel_id,Ryuuga The Crane,https://www.youtube.com/@RyuugaThecrane,verified,acct_8e57ceeed4e764b7b55c,ev_2e8ee34e357f2b5047ac,ChatGPT,2026-09-16T15:38:46.627996+00:00
candidate_0bef3cd76f0863c88d55,tiktok,7077803343825306651,web_user_id,Aranis Elvene,https://www.tiktok.com/@aranis_elvene,verified,acct_6021f02da42995d2e6bf,ev_6547988b30577203ef25,codex:public-profile-review,2026-09-13T06:22:12.781875+00:00
candidate_0c4689808567f98fb49b,twitch,1526033835,user_id,stellarparticle45vg8hn,https://www.twitch.tv/stellarparticle45vg8hn,verified,acct_b26571532231f5d68e53,ev_6944a5a6f1d7c626706d,codex:candidate-account-promotion,2026-09-16T12:00:00+00:00
candidate_0c8bfd8ed0ffeb25e932,youtube,,,Hatsuji ::H.T.J ,https://www.youtube.com/c/HatsujiHTJ,needs_evidence,,ev_3669f535dca9084906bb,,
