category,metric,value
summary,total_personas,895
summary,verified_personas,873
summary,needs_evidence_personas,0
summary,verified_personas_with_no_verified_accounts,1
summary,verified_personas_with_single_platform,198
summary,total_accounts,4721
summary,distinct_verified_accounts,2640
summary,verified_account_links,2671
summary,needs_evidence_account_links,15
summary,rejected_account_links,6
summary,unlinked_accounts,2064
summary,shared_accounts_count,30
summary,total_candidates,878
summary,unresolved_candidates,621
summary,needs_evidence_lifecycle_events,33
summary,secondary_source_lifecycle_events,27
summary,unverified_graduation_claims,5
evidence_freshness,0_30_days,8535
evidence_freshness,31_90_days,0
evidence_freshness,91_180_days,0
evidence_freshness,181_365_days,0
evidence_freshness,over_365_days,0
evidence_freshness,unknown,0
unresolved_candidates,x,127
unresolved_candidates,twitch,49
unresolved_candidates,youtube,313
unresolved_candidates,tiktok,87
unresolved_candidates,linktree,14
unresolved_candidates,website,18
unresolved_candidates,facebook,8
unresolved_candidates,ganknow,3
unresolved_candidates,instagram,2
