id,persona_id,event_type,event_date,date_precision,evidence_id,review_status,reviewer,reviewed_at,note
event_4fceaf1a46fc88794899,persona_85655a915d5e96911854,graduation,2025-05-31,day,ev_c0ea175555b5c76acac1,verified,codex:public-persona-review,2026-09-13T09:02:57.160162+00:00,Dated graduation statement in public Twitch bio.
life_0a50d0a1473676797542,persona_1bc44543dda15931d9cf,debut,2024-08-28,day,ev_b806f8ab36ac5f2ee084,needs_evidence,,,Debut date from discovery source https://hololist.net/lenezmee-dollynx/; not first-party verified.
life_0da099e904591b513b5d,persona_6f5c7afe6e9085c3b05f,debut,,unknown,ev_67336c55bec1823a7d74,needs_evidence,,,Debut date from discovery source https://hololist.net/liyin/; not first-party verified.
life_145e0667a0befd259c63,persona_69145160a5bb56ba8265,debut,2023-11-01,day,ev_525b660fe3535cc61aca,needs_evidence,,,Debut date from discovery source https://hololist.net/rainbows-fukio/; not first-party verified.
life_1ed47c7c9e04d508c9c4,persona_dd7c3e8c837cc0957f3d,debut,2025-06-30,day,ev_8f6c63c5fcf153c20a38,needs_evidence,,,Debut date from discovery source https://hololist.net/simon-von-crucisburg/; not first-party verified.
life_220b71f70902c58e531a,persona_75770df8891acb3b0504,debut,2022-10-09,day,ev_3ab03f483d7990a85c4e,needs_evidence,,,Debut date from discovery source https://hololist.net/nihr-farfalla/; not first-party verified.
life_37075dc08f70c297d373,persona_b63eb3d7581a3b506d0c,debut,,unknown,ev_1d036aef0ef9a80fa28d,needs_evidence,,,Debut date from discovery source https://x.com/Kennedy_MeowVT/status/2100186693768995146; not first-party verified.
life_396b59adb7eb094e9602,persona_0d59ce62c1b5c1174a3c,debut,2025-04-23,day,ev_4ed099453d75cf1dd644,needs_evidence,,,Debut date from discovery source https://hololist.net/hakka/; not first-party verified.
life_39ee8f829e173aed8c47,persona_e58298576a7526ad26bc,debut,,unknown,ev_b75390d925276e55f46b,needs_evidence,,,Debut date from discovery source https://hololist.net/ryuuga-the-crane/; not first-party verified.
life_3e0fb972524bdd34f3f8,persona_0e69af0d96020bfa1c3b,debut,2024-10-25,day,ev_25c983392c39dd51d971,needs_evidence,,,Debut date from discovery source https://hololist.net/kyoya-keiran/; not first-party verified.
life_4f9282aa60c3f658ebf3,persona_66672eed824eb1a63e9c,debut,2022-10-29,day,ev_0b4400f7af8a5d713c2b,needs_evidence,,,Debut date from discovery source https://hololist.net/cynthia/; not first-party verified.
life_523ee63ddc71e809a250,persona_0f387b725aa2421677ed,graduation,2022-08-31,day,ev_afca96eb8fe98376300b,needs_evidence,,,Retirement/graduation date from discovery source https://hololist.net/usami-bunny/; not first-party verified.
life_5fcb46928147ff77cfc3,persona_79a3f0c028dca956ed91,debut,2026-10,month,ev_a1cd472b917d07c50560,needs_evidence,,,Debut date from discovery source https://x.com/KirariEsu_VT/status/2100204807583871028; not first-party verified.
life_7f6251a037641255c12f,persona_fb165701bb8655c27dbf,debut,2026-10-21,day,ev_667e802470e34628473c,needs_evidence,,,Debut date from discovery source https://x.com/NLattee59689/status/2100143904234316009; not first-party verified.
life_808a0b39401ac68a91d1,persona_3707f0e93bfbba799463,debut,2022-02-05,day,ev_eaedcb8abe93a7cc0826,needs_evidence,,,Debut date from discovery source https://hololist.net/emil/; not first-party verified.
life_8462001646f719072866,persona_dcbfc242c4c1198a1dbd,debut,2024-08-10,day,ev_42050065e94e428e86a3,needs_evidence,,,Debut date from discovery source https://hololist.net/seikou-iminato/; not first-party verified.
life_8933b68cce13b9624c60,persona_662d0fcab89be08f20e1,debut,,unknown,ev_e507d9e69ee97a758eea,needs_evidence,,,Debut date from discovery source https://x.com/ZTP_project; not first-party verified.
life_95023f6a0cd3ee54943a,persona_f950c5c09fec76a5c3a4,debut,2023-08-13,day,ev_c70f1c375b7aa918ed7c,needs_evidence,,,Debut date from discovery source https://hololist.net/nostradamus-karasu/; not first-party verified.
life_9fafd560b94c74f3969e,persona_ea6554693f3ab11ded5e,debut,,unknown,ev_7517bc7bf8376b5b69b3,needs_evidence,,,Debut date from discovery source https://hololist.net/zabrina/; not first-party verified.
life_a22ac690c198685810e9,persona_4b950bae9521bdada92b,debut,2024-04-13,day,ev_4cb3068f1d4c52f57ab9,needs_evidence,,,Debut date from discovery source https://hololist.net/joro-gumo/; not first-party verified.
life_ab720855e665c68c44a8,persona_66672eed824eb1a63e9c,graduation,2023-04-16,day,ev_0b4400f7af8a5d713c2b,needs_evidence,,,Retirement/graduation date from discovery source https://hololist.net/cynthia/; not first-party verified.
life_ad45794d77c50bf6e75c,persona_6939b57ea784abac9934,graduation,2025-06-30,day,ev_55d8fe0838a72afd8935,needs_evidence,,,Retirement/graduation date from discovery source https://hololist.net/noboru/; not first-party verified.
life_b48f00100d5f81493afa,persona_9c8d12e5abd66935aa68,debut,2025-11-05,day,ev_eb1551301c46622ce0e2,needs_evidence,,,Debut date from discovery source https://hololist.net/carina-aquarius/; not first-party verified.
life_c8479c6b6bc1e84e8bec,persona_0f387b725aa2421677ed,debut,,unknown,ev_afca96eb8fe98376300b,needs_evidence,,,Debut date from discovery source https://hololist.net/usami-bunny/; not first-party verified.
life_c9550122bcffe1f6fbd1,persona_1bc44543dda15931d9cf,graduation,2024-12-26,day,ev_b806f8ab36ac5f2ee084,needs_evidence,,,Retirement/graduation date from discovery source https://hololist.net/lenezmee-dollynx/; not first-party verified.
life_d8061fb586dd02c5a2b9,persona_e296d01fe0a6cd96471c,debut,,unknown,ev_d7480447b8a4af4db903,needs_evidence,,,Debut date from discovery source https://x.com/Shion_VWY/status/2100162782562070658; not first-party verified.
life_e3c0d599d3f2eb989bcd,persona_f3ac52ae514adc62f9f8,debut,2024-04-07,day,ev_8001a49e208f6939766b,needs_evidence,,,Debut date from discovery source https://hololist.net/pinto/; not first-party verified.
life_e3eaf758f8440de93f9f,persona_e214c634a4735e8cedd9,debut,2026-12,month,ev_3e6922a6782e3c63d5cf,needs_evidence,,,Debut date from discovery source https://x.com/Esme_Mew/status/2099841201944014850; not first-party verified.
life_e61c0974ee14e0cf77d0,persona_6939b57ea784abac9934,debut,,unknown,ev_55d8fe0838a72afd8935,needs_evidence,,,Debut date from discovery source https://hololist.net/noboru/; not first-party verified.
life_e7390b62229e5a0f0158,persona_8261000752396c56dec6,debut,2023-03-27,day,ev_7ffde5a647b8506ebe3b,needs_evidence,,,Debut date from discovery source https://hololist.net/logan-u-stryker/; not first-party verified.
life_ebbe29f30bfc78a87403,persona_5efe72eab4e5d5231e0a,debut,2024-05-22,day,ev_46288c3989d2daaa5077,needs_evidence,,,Debut date from discovery source https://hololist.net/kylanz/; not first-party verified.
life_f1094696dfb512141205,persona_75770df8891acb3b0504,graduation,2025-08-15,day,ev_3ab03f483d7990a85c4e,needs_evidence,,,Retirement/graduation date from discovery source https://hololist.net/nihr-farfalla/; not first-party verified.
life_f3affa58c9a0aec1d51e,persona_c8a2a3d5f9e915054fef,debut,2024-12-14,day,ev_71a233ffdd86abe01db7,needs_evidence,,,Debut date from discovery source https://hololist.net/mit-pesisth/; not first-party verified.
life_fd0b093b53477cca5b68,persona_c9ce72887adc6a9b9913,debut,2024-10-25,day,ev_3e6e368ae0901b4ad00f,needs_evidence,,,Debut date from discovery source https://hololist.net/howl/; not first-party verified.
