id,account_id,reason,status,note
collision_181138088f938f1671ac,acct_0eaa17533abf48468f65,legacy_identity_collision,resolved,Resolved: Twitch account acct_0eaa17533abf48468f65 consolidated to canonical persona persona_f83d26c784f459e8caf2 via verified official YouTube About crosslink.
collision_286e774cfd09a2415681,acct_1fb24ca488c0428282ad,legacy_identity_collision,resolved,Resolved: Twitch account acct_1fb24ca488c0428282ad consolidated to canonical persona persona_e421713ad596a293afa0 via verified official YouTube About crosslink.
collision_2902e8eb1e57294705b8,acct_f28592162272b0ba6136,legacy_identity_collision,resolved,Resolved: Twitch account acct_f28592162272b0ba6136 consolidated to canonical persona persona_f9bb33726ac7f1996980 via verified official YouTube About crosslink.
collision_2bc537310cfa12045d4d,acct_81328964794cd9c75777,legacy_identity_collision,resolved,Resolved: YouTube account acct_81328964794cd9c75777 consolidated to canonical persona persona_fc1fe4b8823558d7e16e via verified official YouTube About crosslink.
collision_369127a7f5f8944c34cb,acct_4b8634dfe8dfb9388773,legacy_identity_collision,open,Legacy person_id was shared by multiple accounts. No persona link was imported.
collision_55361b0ce5a4bf0eb752,acct_0f56b3c423e11c111f97,legacy_identity_collision,resolved,Resolved: Twitch account acct_0f56b3c423e11c111f97 consolidated to canonical persona persona_8cd1092c1ae0a3bf599a via verified official YouTube About crosslink.
collision_585934d6c9d16e332dbc,acct_72c560a1cf882b9f0673,legacy_identity_collision,open,Legacy person_id was shared by multiple accounts. No persona link was imported.
collision_63ecb3d4809fda528145,acct_48e6c1fb4c0a24e12621,legacy_identity_collision,resolved,Resolved: Twitch account acct_48e6c1fb4c0a24e12621 consolidated to canonical persona persona_4b437c36193f59b65c7c via verified official YouTube About crosslink.
collision_66d247362c0377b79f54,acct_18ba8067f27dceb85bdf,legacy_identity_collision,resolved,Resolved: Twitch account acct_18ba8067f27dceb85bdf consolidated to canonical persona persona_1e41c7e8458a63ec2dc2 via verified official YouTube About crosslink.
collision_6b8dabe9eb469dd1cd51,acct_e3da277da047b8a0b4d3,legacy_identity_collision,resolved,Resolved: Twitch account acct_e3da277da047b8a0b4d3 consolidated to canonical persona persona_2ffa79b5b6500262de3c via verified official YouTube About crosslink.
collision_83454a3d2ee2a515c5b9,acct_94520cba7614e6956a80,legacy_identity_collision,resolved,Resolved: Twitch account acct_94520cba7614e6956a80 consolidated to canonical persona persona_69703daf943d39931ebd via verified official YouTube About crosslink.
collision_a9860f85dda779cb2923,acct_ae9d3c105209cb93bec1,legacy_identity_collision,resolved,Resolved: Twitch account acct_ae9d3c105209cb93bec1 consolidated to canonical persona persona_3722c7bdac5486a6818b via verified official YouTube About crosslink.
collision_aaf66317ac2e8d1366fc,acct_2ac559478fc1d87143a6,legacy_identity_collision,resolved,Resolved: Twitch account acct_2ac559478fc1d87143a6 consolidated to canonical persona persona_442e8ab35e96aae8f685 via verified official YouTube About crosslink.
collision_b0171cf0d5ac9a4c07e7,acct_fcb45065e6c0949fa002,legacy_identity_collision,resolved,Resolved: Twitch account acct_fcb45065e6c0949fa002 consolidated to canonical persona persona_c20c168d6c92fbc77ca9 via verified official YouTube About crosslink.
collision_b60a03740201f8297980,acct_24a048f7740cfc35f870,legacy_identity_collision,resolved,Resolved: Twitch account acct_24a048f7740cfc35f870 consolidated to canonical persona persona_eebcb5451df0ba0a7eda via verified official YouTube About crosslink.
collision_bb9ac3c1753a3e821a25,acct_2dff6f1eeefc1cf7b0c4,legacy_identity_collision,resolved,Resolved: Twitch account acct_2dff6f1eeefc1cf7b0c4 consolidated to canonical persona persona_49669d2d41b04400e4fd via verified official YouTube About crosslink.
collision_d15341f443838d137e70,acct_92ae44bca24da8331d48,legacy_identity_collision,resolved,Resolved: Twitch account acct_92ae44bca24da8331d48 consolidated to canonical persona persona_77843d9e0184bf7b71e9 via verified official YouTube About crosslink.
collision_d44e4d064763e4bf112f,acct_bd8414d013d95df8d9f1,legacy_identity_collision,resolved,Resolved: Twitch account acct_bd8414d013d95df8d9f1 consolidated to canonical persona persona_3f02781350f2b96b33e0 via verified official YouTube About crosslink.
collision_d48266e94576fa8e4d1f,acct_bb63b004e62bd7f87f4a,legacy_identity_collision,resolved,Resolved: Twitch account acct_bb63b004e62bd7f87f4a consolidated to canonical persona persona_b9f5f7e894bc19329a52 via verified official YouTube About crosslink.
collision_e1b66cc809e9e3664139,acct_40370a1d3f1ad5408183,legacy_identity_collision,resolved,Resolved: Twitch account acct_40370a1d3f1ad5408183 consolidated to canonical persona persona_c7dc48cbdc2239573d74 via verified official YouTube About crosslink.
collision_ef65f7b3c14017ae603c,acct_642d198aa72805f16f6e,legacy_identity_collision,resolved,Resolved: YouTube account acct_642d198aa72805f16f6e consolidated to canonical persona persona_d82e11d35ea963b01d7e via verified official YouTube profile crosslink.
collision_f21f30747337a75bc483,acct_5da1e67457eef56569b3,legacy_identity_collision,resolved,Resolved: Twitch account acct_5da1e67457eef56569b3 consolidated to canonical persona persona_5a71adf7947eaff3b076 via verified official YouTube About crosslink.
